GPK93_02g02010	syntaxin-binding protein
GPK93_02g02020	glutathione peroxidase
GPK93_02g02030	transcription initiation factor IIA subunit gamma
GPK93_02g02040	nucleoporin autopeptidase
GPK93_02g02050	clathrin
GPK93_02g02060	proteasome regulatory subunit 2
GPK93_02g02070	FeS cluster assembly protein
GPK93_02g02080	hypothetical protein
GPK93_02g02090	protein kinase
GPK93_02g02100	T complex protein subunit
GPK93_02g02110	tRNA-Ser
GPK93_02g02120	nuclear cap-binding protein subunit
GPK93_02g02130	tRNA-Thr
GPK93_02g02140	clathrin coat assembly protein
GPK93_02g02150	protein kinase domain-containing protein
GPK93_02g02160	hypothetical protein
GPK93_02g02170	hypothetical protein
GPK93_02g02180	cleavage and polyadenylation specificity factor 3 CPSF3
GPK93_02g02190	hydroxyacylglutathione hydrolase
GPK93_02g02200	hypothetical protein
GPK93_02g02210	hypothetical protein
GPK93_02g02220	ribosomal protein L11
GPK93_02g02230	hypothetical protein
GPK93_02g02240	CSE chromosome segregation protein
GPK93_02g02250	WD40 domain-containing protein
GPK93_02g02260	hypothetical protein
GPK93_02g02270	muskelin N-terminus domain-containing protein
GPK93_02g02280	DEAD box ATP-dependent RNA helicase
GPK93_02g02290	replication factor C
GPK93_02g02300	HscB-like chaperone
GPK93_02g02310	hypothetical protein
GPK93_02g02320	hypothetical protein
GPK93_02g02330	hypothetical protein
GPK93_02g02340	histone-like transcription factor
GPK93_02g02350	Poly(A) polymerase
GPK93_02g02360	ubiquitin
GPK93_02g02370	ribosomal protein L7A
GPK93_02g02380	S26 Type I signal peptidase
GPK93_02g02390	ribosomal protein S17
GPK93_02g02400	transcription initiation factor TFIIF subunit beta
GPK93_02g02410	hypothetical protein
GPK93_02g02420	ribosomal protein L9
GPK93_02g02430	ribosomal protein L24
GPK93_02g02440	cell division protein 45
GPK93_02g02450	hypothetical protein
GPK93_02g02460	hypothetical protein
GPK93_02g02470	thioredoxin
GPK93_02g02480	aminolevulinate synthase
GPK93_02g02490	putative lens epithelium-derived growth factor
GPK93_02g02500	hypothetical protein
GPK93_02g02510	tRNA-Pro
GPK93_02g02520	ribosomal protein S8
GPK93_02g02530	hypothetical protein
GPK93_02g02540	hypothetical protein
GPK93_02g02550	ribosomal protein L35A
GPK93_02g02560	hypothetical protein
GPK93_02g02570	mitotic checkpoint protein
GPK93_02g02580	cleavage stimulation factor 77
GPK93_02g02590	thioredoxin reductase
GPK93_02g02600	DUF5089 domain-containing protein
GPK93_02g02610	putative membrane integral protein
GPK93_02g02620	trafficking protein particle complex subunit BET3
GPK93_02g02630	archease
GPK93_02g02640	hypothetical protein
GPK93_02g02650	hypothetical protein
GPK93_02g02660	hypothetical protein
GPK93_02g02680	small nuclear ribonucleoprotein E
GPK93_02g02690	hypothetical protein
GPK93_02g02700	gluconate transport-inducing protein
GPK93_02g02710	tRNA-Ala
GPK93_02g02720	hypothetical protein
GPK93_02g02730	protein farnesyltransferase/geranylgeranyltransferase
GPK93_02g02740	WD40 domain-containing protein
GPK93_02g02750	ubiquitin
GPK93_02g02760	Rad3/XPD DNA repair helicase
GPK93_02g02770	heat shock protein 90
GPK93_02g02780	importin
GPK93_02g02790	hypothetical protein
GPK93_02g02800	serine/threonine-protein kinase MEC1
GPK93_02g02810	microsomal signal peptidase subunit SPC25
GPK93_02g02820	minichromosome maintenance protein MCM
GPK93_02g02830	alternative splicing factor Quaking
GPK93_02g02840	hypothetical protein
GPK93_02g02850	F/Y-rich domain-containing protein
GPK93_02g02860	hypothetical protein
GPK93_02g02870	homeodomain-containing protein
GPK93_02g02880	glutaminyl-tRNA synthetase
GPK93_02g02890	DNA ligase
GPK93_02g02900	SEC24-related protein A
GPK93_02g02910	chromosome condensation complex condesin
GPK93_02g02920	transcription initiation factor TFIID subunit TAF11
GPK93_02g02930	hypothetical protein
GPK93_02g02940	mitosis protein DIM1
GPK93_02g02950	hypothetical protein
GPK93_02g02960	chromosome condensation complex condensin subunit 2
GPK93_02g02970	dolichyl-phosphate-mannose-protein O-mannosyl transferase
GPK93_02g02980	hypothetical protein
GPK93_02g02990	BRCT domain-containing protein
GPK93_02g03000	hypothetical protein
GPK93_02g03010	sumo-activating enzyme enzyme subunit 2
GPK93_02g03020	E2F/DP transcription factor
GPK93_02g03030	prolyl-tRNA synthetase
GPK93_02g03040	alpha-alpha-trehalase precursor
GPK93_02g03050	CAAX prenyl protease 1
GPK93_02g03060	Ercc4-type nuclease
GPK93_02g03070	hypothetical protein
GPK93_02g03080	WD40 domain-containing protein
GPK93_02g03090	Rab GDP dissociation inhibitor
GPK93_02g03100	exosome complex exonuclease Rrp41
GPK93_02g03110	GPN-loop GTPase 1
GPK93_02g03120	Tsr1-like ribosome biogenesis protein
GPK93_02g03130	Ser/Thr/Tyr protein kinase
GPK93_02g03140	vesicle coat complex COPII subunit Sec24
GPK93_02g03150	prenylated rab acceptor 1-like protein
GPK93_02g03160	hypothetical protein
GPK93_02g03170	tRNA-Leu
GPK93_02g03180	alanyl-tRNA synthethase
GPK93_02g03190	hypothetical protein
GPK93_02g03200	putative transcription initiation factor TFIID subunit TAF12-like protein
GPK93_02g03210	hypothetical protein
GPK93_02g03220	pre-mRNA splicing ATP-dependent RNA helicase
GPK93_02g03230	WD40 domain-containing protein
GPK93_02g03240	asparagine synthase
GPK93_02g03250	DUF1609 domain-containing protein
GPK93_02g03260	DUF1609 domain-containing protein
GPK93_02g03270	hypothetical protein
GPK93_02g03280	DUF2463 domain-containing protein
GPK93_02g03290	DUF2463 domain-containing protein
GPK93_02g03300	small subunit ribosomal RNA
GPK93_02g03310	large subunit ribosomal RNA
GPK93_03g03320	large subunit ribosomal RNA
GPK93_03g03330	small subunit ribosomal RNA
GPK93_03g03340	hypothetical protein
GPK93_03g03350	DUF1609 domain-containing protein
GPK93_03g03360	DUF2463 domain-containing protein
GPK93_03g03370	DUF1609 domain-containing protein
GPK93_03g03380	DUF3654 domain-containing protein
GPK93_03g03390	choline kinase
GPK93_03g03400	nucleotide-sugar transporter
GPK93_03g03410	hypothetical protein
GPK93_03g03420	magnesium transporter NIPA
GPK93_03g03430	chromobox protein
GPK93_03g03440	hypothetical protein
GPK93_03g03450	TatD deoxyribonuclease
GPK93_03g03460	putative signal peptidase-like protein
GPK93_03g03470	T complex protein subunit beta
GPK93_03g03480	ribosomal protein L31e
GPK93_03g03490	ATM1-like ABC transporter
GPK93_03g03500	chitin synthase export chaperone protein
GPK93_03g03510	hypothetical protein
GPK93_03g03520	SKIP/SNW domain-containing protein
GPK93_03g03530	vesicle coat complex protein Sec21 gamma subunit
GPK93_03g03540	UTP glucose 1 phosphate uridyltransferase 1
GPK93_03g03550	DNA-directed RNA polymerase subunit alpha
GPK93_03g03560	centromere-associated factor
GPK93_03g03570	vacuolar ATP synthase subunit F
GPK93_03g03580	ribosomal protein S16
GPK93_03g03590	ribosomal protein L13e
GPK93_03g03600	tRNA-Ser
GPK93_03g03610	phosphatidylinositol-4-phosphate-5-kinase
GPK93_03g03620	phosphomannomutase/phosphoglucomutase
GPK93_03g03630	DUF4451 domain-containing protein
GPK93_03g03640	tRNA-Asp
GPK93_03g03650	small nuclear ribonucleoprotein SmD1
GPK93_03g03660	hypothetical protein
GPK93_03g03670	hypothetical protein
GPK93_03g03680	hypothetical protein
GPK93_03g03690	sterolin-1
GPK93_03g03700	hypothetical protein
GPK93_03g03710	cyclin-T
GPK93_03g03720	FACT complex subunit spt16
GPK93_03g03730	WD40 domain-binding protein
GPK93_03g03740	DNA-directed RNA polymerase I subunit RPA135
GPK93_03g03750	DUF1764 domain-containing protein
GPK93_03g03760	ADP-ribosylation factor 6
GPK93_03g03770	splicing factor 3A subunit 2
GPK93_03g03780	transcription factor S-II
GPK93_03g03790	vacuolar ATP synthase subunit C
GPK93_03g03800	cullin-associated NEDD8-dissociated protein 1
GPK93_03g03810	heat shock protein 70
GPK93_03g03820	synaptobrevin YKT6
GPK93_03g03830	DNA mismatch repair protein Msh2
GPK93_03g03840	RhoGEF domain-containing protein
GPK93_03g03850	Rab-GAP protein
GPK93_03g03860	vacuolar import and degradation protein
GPK93_03g03870	ubiquitin carboxy-terminal hydrolase
GPK93_03g03880	hypothetical protein
GPK93_03g03890	homeodomain-containing transcription factor
GPK93_03g03900	homeobox domain-containing protein
GPK93_03g03910	protein kinase domain-containing protein
GPK93_03g03920	serine/threonine-protein kinase
GPK93_03g03930	RNAse P component 4
GPK93_03g03940	ribosomal protein S11
GPK93_03g03950	ubiquitin carboxyl-terminal hydrolase
GPK93_03g03960	ribonuclease HII
GPK93_03g03970	phosphofructokinase
GPK93_03g03980	hypothetical protein
GPK93_03g03990	exoribonuclease R
GPK93_03g04000	ribosomal protein L34
GPK93_03g04010	ribosomal protein L7AE
GPK93_03g04020	RNA recognition motif domain-containing protein
GPK93_03g04030	hypothetical protein
GPK93_03g04040	nuclear cap-binding protein subunit 2
GPK93_03g04050	hypothetical protein
GPK93_03g04060	hypothetical protein
GPK93_03g04070	hypothetical protein
GPK93_03g04080	ubiquitin-related modifier 1
GPK93_03g04090	sedlin
GPK93_03g04100	beta-tubulin
GPK93_03g04110	DUF5092 domain-containing protein
GPK93_03g04120	small nuclear D3-like ribonucleoprotein
GPK93_03g04130	beta-catenin-like protein
GPK93_03g04140	hypothetical protein
GPK93_03g04150	hypothetical protein
GPK93_03g04160	hypothetical protein
GPK93_03g04170	haspin Ser/Thr kinase
GPK93_03g04180	SEC1 family transport protein SLY1
GPK93_03g04190	casein kinase I
GPK93_03g04200	tRNA-intron endonuclease
GPK93_03g04210	ubiquitin-activating enzyme E1
GPK93_03g04220	hypothetical protein
GPK93_03g04230	ribosomal protein L7
GPK93_03g04240	hypothetical protein
GPK93_03g04250	hypothetical protein
GPK93_03g04260	protein kinase
GPK93_03g04270	cysteine-rich secretory protein
GPK93_03g04280	hypothetical protein
GPK93_03g04290	14-3-3 protein
GPK93_03g04300	hypothetical protein
GPK93_03g04310	origin recognition complex subunit 1
GPK93_03g04320	Myb DNA-binding-like protein
GPK93_03g04330	FAR-17a/AIG1-like protein
GPK93_03g04340	FAR-17a/AIG1-like protein
GPK93_03g04350	transcription initiation factor TFIIA
GPK93_03g04360	flap endonuclease-1
GPK93_03g04370	hypothetical protein
GPK93_03g04380	tRNA-Phe
GPK93_03g04390	phosphatidylinositol 4-kinase
GPK93_03g04400	hypothetical protein
GPK93_03g04410	hypothetical protein
GPK93_03g04420	V-type sodium atp synthase subunit K
GPK93_03g04430	DNA repair and recombination protein RadA
GPK93_03g04440	protein STN1
GPK93_03g04450	calponin domain-containing protein
GPK93_03g04460	phosphoinositide polyphosphatase
GPK93_03g04470	homeobox domain-containing protein
GPK93_03g04480	thioredoxin peroxidase
GPK93_03g04490	hypothetical protein
GPK93_03g04500	ribosomal protein L3
GPK93_03g04510	WD40 domain-containing protein
GPK93_03g04520	tRNA-5-methyluridine(54) 2-sulfurtransferase TtuA
GPK93_03g04530	membrane protein
GPK93_03g04540	emp24/gp25L/p24 family/GOLD-like protein
GPK93_03g04550	cytidylate kinase
GPK93_03g04560	WD40 domain-containing protein
GPK93_03g04570	ubiquitin-like modifier-activating enzyme 5
GPK93_03g04580	hypothetical protein
GPK93_03g04590	tRNA-Val
GPK93_03g04600	membrane protein
GPK93_03g04610	hypothetical protein
GPK93_03g04620	proteasome regulatory subunit 7
GPK93_03g04630	hypothetical protein
GPK93_03g04640	N-myristoyl transferase
GPK93_03g04650	ssDNA specific exonuclease
GPK93_03g04660	histone deacetylase
GPK93_03g04670	pelota-like protein
GPK93_03g04680	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
GPK93_03g04690	homodomain-containing protein
GPK93_03g04700	hypothetical protein
GPK93_03g04710	AAA ATPase
GPK93_03g04720	hypothetical protein
GPK93_03g04730	Ras-related protein Rab-32
GPK93_03g04740	tRNA nucleotidyltransferase/poly(A) polymerase
GPK93_03g04750	membrane protein
GPK93_03g04760	histone H3
GPK93_03g04770	hypothetical protein
GPK93_03g04780	hypothetical protein
GPK93_03g04790	ribosomal protein L18
GPK93_03g04800	DnaJ domain-containing protein
GPK93_03g04810	hypothetical protein
GPK93_03g04820	CCAAT-binding factor subunit B
GPK93_03g04830	WD40 domain-containing protein
GPK93_03g04840	Snf2/Rad54-like helicase
GPK93_03g04850	hypothetical protein
GPK93_03g04860	RING-type domain-containing protein
GPK93_03g04870	leucine zipper domain-containing protein
GPK93_03g04880	heparin dodecasaccharide H12
GPK93_03g04890	Ca2+-binding protein calmodulin
GPK93_03g04900	hypothetical protein
GPK93_03g04910	ankyrin repeat-containing protein
GPK93_03g04920	YEATS domain-containing protein
GPK93_03g04930	hypothetical protein
GPK93_03g04940	AAA domain-containing protein
GPK93_03g04950	DUF2463 domain-containing protein
GPK93_03g04960	DUF3654 domain-containing protein
GPK93_03g04970	DUF1609 domain-containing protein
GPK93_03g04980	DUF2463 domain-containing protein
GPK93_03g04990	phosphomannomutase
GPK93_03g05000	DUF1609 domain-containing protein
GPK93_03g05010	DUF2463 domain-containing protein
GPK93_03g05020	DUF2463 domain-containing protein
GPK93_03g05030	small subunit ribosomal RNA
GPK93_03g05040	large subunit ribosomal RNA
GPK93_04g05050	large subunit ribosomal RNA
GPK93_04g05060	small subunit ribosomal RNA
GPK93_04g05070	DUF2463 domain-containing protein
GPK93_04g05080	DUF2463 domain-containing protein
GPK93_04g05090	DUF2463 domain-containing protein
GPK93_04g05100	hypothetical protein
GPK93_04g05110	DUF1686 domain-containing protein
GPK93_04g05120	DUF1609 domain-containing protein
GPK93_04g05130	DnaJ domain-containing protein
GPK93_04g05140	hypothetical protein
GPK93_04g05150	ribosomal protein S14p/S29e
GPK93_04g05160	hypothetical protein
GPK93_04g05170	ribosomal protein S5
GPK93_04g05180	hypothetical protein
GPK93_04g05190	hypothetical protein
GPK93_04g05200	hypothetical protein
GPK93_04g05210	RRM domain-containing protein
GPK93_04g05220	tRNA-Lys
GPK93_04g05230	endoplasmic reticulum membrane-associated oxidoreductin
GPK93_04g05240	transcription elongation factor S-II
GPK93_04g05250	KH domain-containing protein
GPK93_04g05260	tRNA-Ile
GPK93_04g05270	Ser/Thr protein phosphatase 2A regulatory subunit beta
GPK93_04g05280	glucose transporter type 3
GPK93_04g05290	SANT domain-containing protein
GPK93_04g05300	putative Mad3/BUB1 like region 1 protein
GPK93_04g05310	RNA helicase
GPK93_04g05320	DHHC palmitoyltransferase
GPK93_04g05330	hypothetical protein
GPK93_04g05340	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH subunit SSL1
GPK93_04g05350	hypothetical protein
GPK93_04g05360	protein tyrosine phosphatase
GPK93_04g05370	proteasome regulatory subunit 4
GPK93_04g05380	class 3 lipase
GPK93_04g05390	ribosomal protein L14E/L6E/L27E
GPK93_04g05400	hypothetical protein
GPK93_04g05410	DNA topoisomerase II
GPK93_04g05420	hypothetical protein
GPK93_04g05430	hypothetical protein
GPK93_04g05440	divalent cation transporter
GPK93_04g05450	heat shock transcription factor
GPK93_04g05460	importin-like protein
GPK93_04g05470	hypothetical protein
GPK93_04g05480	26S proteasome regulatory subunit
GPK93_04g05490	hypothetical protein
GPK93_04g05500	hypothetical protein
GPK93_04g05510	ribosomal protein S2
GPK93_04g05520	tRNA-Ile
GPK93_04g05530	ribosomal RNA small subunit methyltransferase A
GPK93_04g05540	hypothetical protein
GPK93_04g05550	ABC transporter protein
GPK93_04g05560	peptidyl-tRNA hydrolase PTH2
GPK93_04g05570	ubiquitin-protein ligase E3A
GPK93_04g05580	hypothetical protein
GPK93_04g05590	Krr1 KH1 domain-containing protein
GPK93_04g05600	hypothetical protein
GPK93_04g05610	hypothetical protein
GPK93_04g05620	hypothetical protein
GPK93_04g05640	hypothetical protein
GPK93_04g05650	hypothetical protein
GPK93_04g05660	UAA transporter protein
GPK93_04g05670	ekc/keops complex subunit LAGE3
GPK93_04g05680	RRNA-processing protein Utp23
GPK93_04g05690	lysyl-tRNA synthetase
GPK93_04g05700	X-prolyl aminopeptidase 2
GPK93_04g05710	RING-finger domain-containing protein
GPK93_04g05720	tRNA (guanine(37)-N1)-methyltransferase
GPK93_04g05730	ubiquitin conjugating enzyme E2
GPK93_04g05740	ribosomal protein S11
GPK93_04g05750	DNA repair protein SWI5-like protein
GPK93_04g05760	feruloyl esterase A
GPK93_04g05770	membrane protein
GPK93_04g05780	Ras-related protein Rab-32
GPK93_04g05790	vacuolar protein sorting-associated protein 13
GPK93_04g05800	serine/threonine-protein phosphatase PP2A catalytic alpha subunit
GPK93_04g05810	M phase inducer phosphatase
GPK93_04g05820	hypothetical protein
GPK93_04g05830	type 2 peptidyl-tRNA hydrolase
GPK93_04g05840	hypothetical protein
GPK93_04g05850	6-phosphogluconolactonase
GPK93_04g05860	ribosomal protein L22
GPK93_04g05870	seryl-tRNA synthetase
GPK93_04g05880	U5 snRNP pre-mRNA splicing factor Prp8
GPK93_04g05890	hypothetical protein
GPK93_04g05900	eukaryotic translation initiation factor 6
GPK93_04g05910	small nuclear ribonucleoprotein F
GPK93_04g05920	hypothetical protein
GPK93_04g05930	KV channel interacting protein 1
GPK93_04g05940	Nop56p-like nucleolar protein
GPK93_04g05950	KaiC domain-containing protein
GPK93_04g05960	asparagine synthetase
GPK93_04g05970	DNA replication licensing factor MCM27
GPK93_04g05980	hypothetical protein
GPK93_04g05990	cohesin
GPK93_04g06000	hypothetical protein
GPK93_04g06010	tRNA pseudouridine synthase
GPK93_04g06020	phenylalanyl-tRNA synthetase subunit beta
GPK93_04g06030	Ski2 RNA helicase
GPK93_04g06040	tRNA-Leu
GPK93_04g06050	hypothetical protein
GPK93_04g06060	hypothetical protein
GPK93_04g06070	structural maintenance of chromosomes protein 1
GPK93_04g06080	endoplasmic reticulum translocation complex subunit Sec66
GPK93_04g06090	histone H2B type 2-E
GPK93_04g06100	hypothetical protein
GPK93_04g06110	homeobox domain-containing protein
GPK93_04g06120	signal recognition particle protein Srp54
GPK93_04g06130	hypothetical protein
GPK93_04g06140	myosin heavy chain
GPK93_04g06150	ribosomal L29e-like protein
GPK93_04g06160	hypothetical protein
GPK93_04g06170	ribosomal protein S27
GPK93_04g06180	T complex protein 1 theta subunit
GPK93_04g06190	homeobox domain-containing protein
GPK93_04g06200	hypothetical protein
GPK93_04g06210	hypothetical protein
GPK93_04g06220	dolichol-phosphate mannosyltransferase
GPK93_04g06230	DNA topoisomerase III
GPK93_04g06240	hypothetical protein
GPK93_04g06250	actin
GPK93_04g06260	translation elongation factor 1-alpha
GPK93_04g06270	DNA topoisomerase VI subunit A
GPK93_04g06280	hypothetical protein
GPK93_04g06290	glycolipid 2-alpha-mannosyltransferase
GPK93_04g06300	isoleucyl-tRNA synthetase
GPK93_04g06310	transmembrane protein 33/Nucleoporin POM33
GPK93_04g06320	pyruvate dehydrogenase E1 component subunit beta
GPK93_04g06330	pyruvate dehydrogenase subunit beta
GPK93_04g06340	eukaryotic translation initiation factor IF1A
GPK93_04g06350	Ham1 nucleoside triphosphatase
GPK93_04g06360	amino acid permease
GPK93_04g06370	SWIB domain-containing protein
GPK93_04g06380	ubiquitin fusion degradation protein 2
GPK93_04g06390	thymidylate kinase
