
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T02695
To: KEGG GENES
Hits: 10123 from 1 database
ID                   Definition
mis:MICPUN_100683    hypothetical protein 
mis:MICPUN_100697    hypothetical protein 
mis:MICPUN_100701    glycosyltransferase family 4 protein 
mis:MICPUN_100707    hypothetical protein 
mis:MICPUN_100713    hypothetical protein 
mis:MICPUN_100724    Drug/Metabolite transporter superfamily; K15289 solute carrier family 35, member F5 
mis:MICPUN_100725    hypothetical protein 
mis:MICPUN_100734    hypothetical protein 
mis:MICPUN_100748    hypothetical protein 
mis:MICPUN_100750    hypothetical protein 
mis:MICPUN_100752    hypothetical protein; K00413 ubiquinol-cytochrome c reductase cytochrome c1 subunit 
mis:MICPUN_100753    hypothetical protein; K11373 elongator complex protein 1 
mis:MICPUN_100759    hypothetical protein 
mis:MICPUN_100773    RPIA_2; ribose 5-phosphate isomerase; K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6] 
mis:MICPUN_100774    hypothetical protein 
mis:MICPUN_100786    hypothetical protein 
mis:MICPUN_100789    hypothetical protein; K15032 mTERF domain-containing protein, mitochondrial 
mis:MICPUN_100790    hypothetical protein 
mis:MICPUN_100793    cysteine endopeptidase; K08568 cathepsin X [EC:3.4.18.1] 
mis:MICPUN_100794    hypothetical protein; K12618 5'-3' exoribonuclease 1 [EC:3.1.13.-] 
mis:MICPUN_100802    hypothetical protein 
mis:MICPUN_100807    hypothetical protein 
mis:MICPUN_100820    hypothetical protein 
mis:MICPUN_100850    hypothetical protein 
mis:MICPUN_100853    hypothetical protein 
mis:MICPUN_100867    hypothetical protein 
mis:MICPUN_100874    hypothetical protein 
mis:MICPUN_100884    LSM; like-sm protein; K12620 U6 snRNA-associated Sm-like protein LSm1 
mis:MICPUN_100888    hypothetical protein 
mis:MICPUN_100898    hypothetical protein 
mis:MICPUN_100899    hypothetical protein; K17890 autophagy-related protein 16, animal type 
mis:MICPUN_100904    hypothetical protein 
mis:MICPUN_100905    hypothetical protein 
mis:MICPUN_100908    hypothetical protein 
mis:MICPUN_100914    hypothetical protein 
mis:MICPUN_100915    hypothetical protein 
mis:MICPUN_100922    hypothetical protein 
mis:MICPUN_100924    hypothetical protein 
mis:MICPUN_100937    TIC110; chloroplast envelope anion channel-forming Tic110 family 
mis:MICPUN_100957    hypothetical protein; K11793 cereblon 
mis:MICPUN_100958    hypothetical protein 
mis:MICPUN_100959    hypothetical protein 
mis:MICPUN_100962    hypothetical protein 
mis:MICPUN_100971    hypothetical protein 
mis:MICPUN_100978    hypothetical protein 
mis:MICPUN_100979    hypothetical protein; K03128 transcription initiation factor TFIID subunit 2 
mis:MICPUN_100982    cytochrome oxidase biogenesis family 
mis:MICPUN_100998    hypothetical protein; K13217 pre-mRNA-processing factor 39 
mis:MICPUN_101002    hypothetical protein 
mis:MICPUN_101009    hypothetical protein 
mis:MICPUN_101019    hypothetical protein 
mis:MICPUN_101025    hypothetical protein 
mis:MICPUN_101026    hypothetical protein 
mis:MICPUN_101033    hypothetical protein 
mis:MICPUN_101034    hypothetical protein 
mis:MICPUN_101035    hypothetical protein 
mis:MICPUN_101042    hypothetical protein 
mis:MICPUN_101047    hypothetical protein 
mis:MICPUN_101049    hypothetical protein 
mis:MICPUN_101053    hypothetical protein 
mis:MICPUN_101067    hypothetical protein 
mis:MICPUN_101075    hypothetical protein 
mis:MICPUN_101076    hypothetical protein; K16274 E3 ubiquitin-protein ligase AIP2 [EC:6.3.2.19] 
mis:MICPUN_101085    hypothetical protein 
mis:MICPUN_101091    hypothetical protein 
mis:MICPUN_101095    hypothetical protein; K10739 replication factor A2 
mis:MICPUN_101100    hypothetical protein 
mis:MICPUN_101102    hypothetical protein 
mis:MICPUN_101103    hypothetical protein 
mis:MICPUN_101109    hypothetical protein 
mis:MICPUN_101111    hypothetical protein 
mis:MICPUN_101124    hypothetical protein 
mis:MICPUN_101129    hypothetical protein 
mis:MICPUN_101133    hypothetical protein 
mis:MICPUN_101136    hypothetical protein; K06664 peroxin-2 
mis:MICPUN_101146    hypothetical protein; K17435 large subunit ribosomal protein L54, mitochondrial 
mis:MICPUN_101153    hypothetical protein 
mis:MICPUN_101162    hypothetical protein 
mis:MICPUN_101177    hypothetical protein 
mis:MICPUN_101179    hypothetical protein; K04460 serine/threonine-protein phosphatase 5 [EC:3.1.3.16] 
mis:MICPUN_101182    hypothetical protein 
mis:MICPUN_101183    hypothetical protein 
mis:MICPUN_101186    hypothetical protein 
mis:MICPUN_101189    hypothetical protein 
mis:MICPUN_101192    hypothetical protein 
mis:MICPUN_101203    hypothetical protein 
mis:MICPUN_101215    hypothetical protein; K12822 RNA-binding protein 25 
mis:MICPUN_101217    hypothetical protein 
mis:MICPUN_101220    hypothetical protein; K14819 dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48] 
mis:MICPUN_101227    hypothetical protein 
mis:MICPUN_101233    hypothetical protein 
mis:MICPUN_101244    hypothetical protein 
mis:MICPUN_101250    hypothetical protein; K16757 coiled-coil domain-containing protein 77 
mis:MICPUN_101255    hypothetical protein 
mis:MICPUN_101256    hypothetical protein 
mis:MICPUN_101260    hypothetical protein 
mis:MICPUN_101265    hypothetical protein 
mis:MICPUN_101276    hypothetical protein 
mis:MICPUN_101277    hypothetical protein; K14573 nucleolar protein 4 
mis:MICPUN_101279    hypothetical protein; K10758 thiol oxidase [EC:1.8.3.2] 
mis:MICPUN_101294    hypothetical protein; K15216 RNA polymerase I-specific transcription initiation factor RRN3 
mis:MICPUN_101301    hypothetical protein 
mis:MICPUN_101315    hypothetical protein 
mis:MICPUN_101327    hypothetical protein; K13098 RNA-binding protein FUS 
mis:MICPUN_101331    hypothetical protein 
mis:MICPUN_101342    hypothetical protein 
mis:MICPUN_101350    hypothetical protein 
mis:MICPUN_101351    hypothetical protein; K07752 carboxypeptidase D [EC:3.4.17.22] 
mis:MICPUN_101369    hypothetical protein 
mis:MICPUN_101373    hypothetical protein 
mis:MICPUN_101378    hypothetical protein 
mis:MICPUN_101382    hypothetical protein 
mis:MICPUN_101387    hypothetical protein 
mis:MICPUN_101389    hypothetical protein; K17985 activating molecule in BECN1-regulated autophagy protein 1 
mis:MICPUN_101390    hypothetical protein 
mis:MICPUN_101399    hypothetical protein 
mis:MICPUN_101404    hypothetical protein 
mis:MICPUN_101405    hypothetical protein; K17412 small subunit ribosomal protein S34, mitochondrial 
mis:MICPUN_101412    hypothetical protein 
mis:MICPUN_101415    hypothetical protein 
mis:MICPUN_101424    MOT1; sulfate permease family 
mis:MICPUN_101426    hypothetical protein 
mis:MICPUN_101430    hypothetical protein 
mis:MICPUN_101440    hypothetical protein 
mis:MICPUN_101445    hypothetical protein 
mis:MICPUN_101458    hypothetical protein 
mis:MICPUN_101463    hypothetical protein 
mis:MICPUN_101464    hypothetical protein 
mis:MICPUN_101466    hypothetical protein 
mis:MICPUN_101467    hypothetical protein 
mis:MICPUN_101480    mitochondrial carrier family 
mis:MICPUN_101482    hypothetical protein 
mis:MICPUN_101484    hypothetical protein 
mis:MICPUN_101488    hypothetical protein 
mis:MICPUN_101490    hypothetical protein; K02834 ribosome-binding factor A 
mis:MICPUN_101493    hypothetical protein 
mis:MICPUN_101511    hypothetical protein; K14005 protein transport protein SEC31 
mis:MICPUN_101515    hypothetical protein; K11266 MAternally affected uncoordination 
mis:MICPUN_101536    hypothetical protein; K16803 cytoskeleton-associated protein 5 
mis:MICPUN_101547    hypothetical protein 
mis:MICPUN_101553    hypothetical protein 
mis:MICPUN_101556    hypothetical protein 
mis:MICPUN_101567    hypothetical protein 
mis:MICPUN_101569    hypothetical protein 
mis:MICPUN_101570    hypothetical protein 
mis:MICPUN_101581    hypothetical protein 
mis:MICPUN_101593    ARID/BRIGHT DNA binding domain protein 
mis:MICPUN_101594    hypothetical protein; K05287 phosphatidylinositol glycan, class F [EC:2.7.-.-] 
mis:MICPUN_101597    hypothetical protein 
mis:MICPUN_101599    hypothetical protein; K03501 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170] 
mis:MICPUN_101605    hypothetical protein 
mis:MICPUN_101613    hypothetical protein 
mis:MICPUN_101616    hypothetical protein 
mis:MICPUN_101630    hypothetical protein 
mis:MICPUN_101631    hypothetical protein 
mis:MICPUN_101632    hypothetical protein 
mis:MICPUN_101634    hypothetical protein 
mis:MICPUN_101640    hypothetical protein 
mis:MICPUN_101642    hypothetical protein; K12471 epsin 
mis:MICPUN_101645    hypothetical protein 
mis:MICPUN_101661    hypothetical protein; K15691 E3 ubiquitin-protein ligase RFWD3 [EC:6.3.2.19] 
mis:MICPUN_101662    hypothetical protein 
mis:MICPUN_101665    hypothetical protein 
mis:MICPUN_101672    hypothetical protein 
mis:MICPUN_101692    hypothetical protein 
mis:MICPUN_101698    hypothetical protein; K15732 RNA polymerase II subunit A C-terminal domain phosphatase [EC:3.1.3.16] 
mis:MICPUN_101701    hypothetical protein 
mis:MICPUN_101703    hypothetical protein 
mis:MICPUN_101706    hypothetical protein 
mis:MICPUN_101709    hypothetical protein 
mis:MICPUN_101714    hypothetical protein 
mis:MICPUN_101718    hypothetical protein 
mis:MICPUN_101737    hypothetical protein 
mis:MICPUN_101746    glycosyltransferase family 77 protein 
mis:MICPUN_101752    hypothetical protein 
mis:MICPUN_101755    histone H2B; K11252 histone H2B 
mis:MICPUN_101757    hypothetical protein 
mis:MICPUN_101764    hypothetical protein 
mis:MICPUN_101770    hypothetical protein; K07056 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198] 
mis:MICPUN_101771    hypothetical protein 
mis:MICPUN_101773    hypothetical protein 
mis:MICPUN_101781    major facilitator superfamily 
mis:MICPUN_101796    hypothetical protein 
mis:MICPUN_101799    hypothetical protein 
mis:MICPUN_101801    hypothetical protein 
mis:MICPUN_101807    hypothetical protein 
mis:MICPUN_101817    hypothetical protein 
mis:MICPUN_101824    type II secretory pathway family; K03070 preprotein translocase subunit SecA 
mis:MICPUN_101833    hypothetical protein; K01285 lysosomal Pro-X carboxypeptidase [EC:3.4.16.2] 
mis:MICPUN_101841    hypothetical protein 
mis:MICPUN_101847    hypothetical protein 
mis:MICPUN_101849    hypothetical protein; K13109 IK cytokine 
mis:MICPUN_101854    hypothetical protein 
mis:MICPUN_101862    hypothetical protein 
mis:MICPUN_101884    hypothetical protein 
mis:MICPUN_101887    hypothetical protein 
mis:MICPUN_101889    hypothetical protein 
mis:MICPUN_101908    hypothetical protein 
mis:MICPUN_101909    hypothetical protein 
mis:MICPUN_101914    hypothetical protein 
mis:MICPUN_101917    hypothetical protein 
mis:MICPUN_101921    heat shock protein 
mis:MICPUN_101925    hypothetical protein 
mis:MICPUN_101929    hypothetical protein 
mis:MICPUN_101933    hypothetical protein 
mis:MICPUN_101948    hypothetical protein 
mis:MICPUN_101968    hypothetical protein 
mis:MICPUN_101975    hypothetical protein 
mis:MICPUN_101993    hypothetical protein; K14786 protein KRI1 
mis:MICPUN_101995    hypothetical protein 
mis:MICPUN_101996    hypothetical protein 
mis:MICPUN_101999    hypothetical protein; K02325 DNA polymerase epsilon subunit 2 [EC:2.7.7.7] 
mis:MICPUN_102003    hypothetical protein 
mis:MICPUN_102006    hypothetical protein 
mis:MICPUN_102021    hypothetical protein 
mis:MICPUN_102026    hypothetical protein; K00620 glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3. 
mis:MICPUN_102027    hypothetical protein 
mis:MICPUN_102031    hypothetical protein 
mis:MICPUN_102033    hypothetical protein; K01850 chorismate mutase [EC:5.4.99.5] 
mis:MICPUN_102036    hypothetical protein 
mis:MICPUN_102039    resistance-nodulation-cell division superfamily 
mis:MICPUN_102048    hypothetical protein 
mis:MICPUN_102058    hypothetical protein 
mis:MICPUN_102061    hypothetical protein; K03860 phosphatidylinositol glycan, class Q 
mis:MICPUN_102063    hypothetical protein 
mis:MICPUN_102064    hypothetical protein 
mis:MICPUN_102066    CPC1; central pair complex 1 
mis:MICPUN_102087    hypothetical protein 
mis:MICPUN_102102    hypothetical protein 
mis:MICPUN_102113    hypothetical protein; K00471 gamma-butyrobetaine dioxygenase [EC:1.14.11.1] 
mis:MICPUN_102115    hypothetical protein 
mis:MICPUN_102120    hypothetical protein 
mis:MICPUN_102122    hypothetical protein 
mis:MICPUN_102143    hypothetical protein 
mis:MICPUN_102147    hypothetical protein; K03937 NADH dehydrogenase (ubiquinone) Fe-S protein 4 
mis:MICPUN_102151    hypothetical protein 
mis:MICPUN_102163    TGT; queuine tRNA-ribosyltransferase; K15407 queuine tRNA-ribosyltransferase subunit QTRTD1 [EC:2.4. 
mis:MICPUN_102171    hypothetical protein 
mis:MICPUN_102173    hypothetical protein; K14018 phospholipase A-2-activating protein 
mis:MICPUN_102175    hypothetical protein 
mis:MICPUN_102183    hypothetical protein 
mis:MICPUN_102196    hypothetical protein 
mis:MICPUN_102201    Drug/Metabolite transporter superfamily 
mis:MICPUN_102205    hypothetical protein 
mis:MICPUN_102212    sterile alpha motif domain-containing protein 
mis:MICPUN_102215    TOC75-1; chloroplast envelope protein translocase family 
mis:MICPUN_102217    prephenate/arogenate dehydrogenase; K15227 arogenate dehydrogenase (NADP+), plant [EC:1.3.1.78] 
mis:MICPUN_102220    hypothetical protein; K15501 serine/threonine-protein phosphatase 6 regulatory subunit 3 
mis:MICPUN_102222    hypothetical protein 
mis:MICPUN_102230    hypothetical protein 
mis:MICPUN_102232    hypothetical protein 
mis:MICPUN_102249    hypothetical protein 
mis:MICPUN_102263    hypothetical protein 
mis:MICPUN_102272    hypothetical protein 
mis:MICPUN_102273    NMT1; ATP-binding cassette superfamily 
mis:MICPUN_102306    hypothetical protein 
mis:MICPUN_102308    hypothetical protein 
mis:MICPUN_102316    hypothetical protein; K17822 DCN1-like protein 1/2 
mis:MICPUN_102322    hypothetical protein 
mis:MICPUN_102327    hypothetical protein 
mis:MICPUN_102332    hypothetical protein 
mis:MICPUN_102339    hypothetical protein 
mis:MICPUN_102341    hypothetical protein 
mis:MICPUN_102350    TOC86; chloroplast envelope protein translocase family 
mis:MICPUN_102358    hypothetical protein 
mis:MICPUN_102376    hypothetical protein 
mis:MICPUN_102382    hypothetical protein 
mis:MICPUN_102393    hypothetical protein 
mis:MICPUN_102424    hypothetical protein 
mis:MICPUN_102431    hypothetical protein 
mis:MICPUN_102434    hypothetical protein 
mis:MICPUN_102435    hypothetical protein 
mis:MICPUN_102444    hypothetical protein 
mis:MICPUN_102447    hypothetical protein 
mis:MICPUN_102448    hypothetical protein 
mis:MICPUN_102449    hypothetical protein 
mis:MICPUN_102454    hypothetical protein 
mis:MICPUN_102455    hypothetical protein 
mis:MICPUN_102456    hypothetical protein 
mis:MICPUN_102458    hypothetical protein 
mis:MICPUN_102464    hypothetical protein 
mis:MICPUN_102465    hypothetical protein 
mis:MICPUN_102467    hypothetical protein; K14567 U3 small nucleolar RNA-associated protein 14 
mis:MICPUN_102472    hypothetical protein 
mis:MICPUN_102475    hypothetical protein 
mis:MICPUN_102507    hypothetical protein 
mis:MICPUN_102508    hypothetical protein 
mis:MICPUN_102509    hypothetical protein 
mis:MICPUN_102510    hypothetical protein 
mis:MICPUN_102516    hypothetical protein; K00602 phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohy 
mis:MICPUN_102525    hypothetical protein 
mis:MICPUN_102532    hypothetical protein 
mis:MICPUN_102536    hypothetical protein; K14301 nuclear pore complex protein Nup107 
mis:MICPUN_102540    hypothetical protein 
mis:MICPUN_102547    hypothetical protein 
mis:MICPUN_102553    hypothetical protein 
mis:MICPUN_102558    hypothetical protein 
mis:MICPUN_102565    hypothetical protein 
mis:MICPUN_102575    hypothetical protein 
mis:MICPUN_102577    hypothetical protein 
mis:MICPUN_102578    hypothetical protein 
mis:MICPUN_102582    hypothetical protein 
mis:MICPUN_102590    hypothetical protein 
mis:MICPUN_102602    hypothetical protein 
mis:MICPUN_102606    hypothetical protein 
mis:MICPUN_102615    hypothetical protein 
mis:MICPUN_102617    hypothetical protein 
mis:MICPUN_102624    hypothetical protein 
mis:MICPUN_102633    hypothetical protein 
mis:MICPUN_102635    hypothetical protein 
mis:MICPUN_102636    hypothetical protein 
mis:MICPUN_102649    hypothetical protein 
mis:MICPUN_102650    hypothetical protein 
mis:MICPUN_102654    hypothetical protein 
mis:MICPUN_102656    hypothetical protein 
mis:MICPUN_102657    hypothetical protein 
mis:MICPUN_102665    hypothetical protein 
mis:MICPUN_102669    hypothetical protein 
mis:MICPUN_102676    hypothetical protein 
mis:MICPUN_102682    hypothetical protein 
mis:MICPUN_102686    hypothetical protein; K13343 peroxin-14 
mis:MICPUN_102696    hypothetical protein 
mis:MICPUN_102712    hypothetical protein 
mis:MICPUN_102719    hypothetical protein 
mis:MICPUN_102725    hypothetical protein; K14521 N-acetyltransferase 10 [EC:2.3.1.-] 
mis:MICPUN_102733    hypothetical protein 
mis:MICPUN_102739    small conductance mechanosensitive ion channel family 
mis:MICPUN_102740    hypothetical protein 
mis:MICPUN_102742    cation diffusion facilitator family; K14692 solute carrier family 30 (zinc transporter), member 5/7 
mis:MICPUN_102755    hypothetical protein 
mis:MICPUN_102756    hypothetical protein 
mis:MICPUN_102762    hypothetical protein 
mis:MICPUN_102772    hypothetical protein; K16478 nephrocystin-4 
mis:MICPUN_102775    hypothetical protein 
mis:MICPUN_102792    glutamate-gated ion channel neurotransmitter receptor family 
mis:MICPUN_102796    hypothetical protein 
mis:MICPUN_102797    VLF3; variable flagellar number 3; K16755 coiled-coil domain-containing protein 61 
mis:MICPUN_102800    hypothetical protein 
mis:MICPUN_102807    hypothetical protein; K17427 large subunit ribosomal protein L46, mitochondrial 
mis:MICPUN_102810    hypothetical protein 
mis:MICPUN_102812    hypothetical protein 
mis:MICPUN_102816    hypothetical protein 
mis:MICPUN_102818    hypothetical protein 
mis:MICPUN_102819    hypothetical protein 
mis:MICPUN_102824    hypothetical protein 
mis:MICPUN_102832    hypothetical protein 
mis:MICPUN_102844    Drug/Metabolite transporter superfamily; K15277 solute carrier family 35 (adenosine 3'-phospho 5'-ph 
mis:MICPUN_102855    hypothetical protein 
mis:MICPUN_102857    hypothetical protein 
mis:MICPUN_102866    hypothetical protein 
mis:MICPUN_102877    hypothetical protein 
mis:MICPUN_102878    hypothetical protein 
mis:MICPUN_102880    transcription initiation factor IID, 31kD subunit; K03133 transcription initiation factor TFIID subu 
mis:MICPUN_102881    glycoside hydrolase family 5 protein 
mis:MICPUN_102887    hypothetical protein 
mis:MICPUN_102891    Drug/Metabolite transporter superfamily 
mis:MICPUN_102899    hypothetical protein 
mis:MICPUN_102900    hypothetical protein 
mis:MICPUN_102904    hypothetical protein 
mis:MICPUN_102909    hypothetical protein 
mis:MICPUN_102913    hypothetical protein; K10736 minichromosome maintenance protein 10 
mis:MICPUN_102914    hypothetical protein 
mis:MICPUN_102921    tso1-like transcription factor 
mis:MICPUN_102945    hypothetical protein 
mis:MICPUN_102956    chloride Carrier/Channel family 
mis:MICPUN_102961    hypothetical protein 
mis:MICPUN_102962    hypothetical protein 
mis:MICPUN_102989    hypothetical protein; K11294 nucleolin 
mis:MICPUN_102998    hypothetical protein 
mis:MICPUN_103010    anion exchanger family; K13862 solute carrier family 4 (sodium borate transporter), member 11 
mis:MICPUN_103013    hypothetical protein 
mis:MICPUN_103020    hypothetical protein 
mis:MICPUN_103022    hypothetical protein 
mis:MICPUN_103036    hypothetical protein 
mis:MICPUN_103038    hypothetical protein; K17803 methyltransferase OMS1, mitochondrial [EC:2.1.1.-] 
mis:MICPUN_103047    hypothetical protein 
mis:MICPUN_103051    ligase/ankyrin repeat fused protein 
mis:MICPUN_103061    hypothetical protein 
mis:MICPUN_103082    hypothetical protein 
mis:MICPUN_103083    ATP-binding cassette superfamily 
mis:MICPUN_103087    hypothetical protein 
mis:MICPUN_103091    hypothetical protein 
mis:MICPUN_103097    hypothetical protein 
mis:MICPUN_103103    hypothetical protein 
mis:MICPUN_103106    DUS; dihydrouridine synthase 
mis:MICPUN_103113    hypothetical protein; K16547 protein NEDD1 
mis:MICPUN_103118    hypothetical protein 
mis:MICPUN_103124    hypothetical protein 
mis:MICPUN_103130    SECA; type II secretory pathway family; K03070 preprotein translocase subunit SecA 
mis:MICPUN_103153    hypothetical protein 
mis:MICPUN_103155    hypothetical protein 
mis:MICPUN_103160    hypothetical protein 
mis:MICPUN_103165    hypothetical protein 
mis:MICPUN_103166    hypothetical protein 
mis:MICPUN_103168    hypothetical protein 
mis:MICPUN_103169    hypothetical protein 
mis:MICPUN_103185    hypothetical protein 
mis:MICPUN_103187    glutaredoxin-like protein; K07390 monothiol glutaredoxin 
mis:MICPUN_103195    hypothetical protein 
mis:MICPUN_103196    hypothetical protein 
mis:MICPUN_103198    hypothetical protein 
mis:MICPUN_103207    hypothetical protein; K13210 far upstream element-binding protein 
mis:MICPUN_103214    hypothetical protein 
mis:MICPUN_103218    hypothetical protein 
mis:MICPUN_103231    hypothetical protein 
mis:MICPUN_103233    hypothetical protein 
mis:MICPUN_103236    hypothetical protein 
mis:MICPUN_103237    hypothetical protein 
mis:MICPUN_103239    hypothetical protein 
mis:MICPUN_103242    hypothetical protein 
mis:MICPUN_103248    hypothetical protein; K12199 vacuolar protein sorting-associated protein VTA1 
mis:MICPUN_103276    hypothetical protein 
mis:MICPUN_103279    hypothetical protein 
mis:MICPUN_103283    hypothetical protein 
mis:MICPUN_103284    hypothetical protein 
mis:MICPUN_103288    hypothetical protein 
mis:MICPUN_103290    hypothetical protein 
mis:MICPUN_103293    hypothetical protein 
mis:MICPUN_103294    hypothetical protein 
mis:MICPUN_103295    hypothetical protein 
mis:MICPUN_103299    hypothetical protein 
mis:MICPUN_103300    hypothetical protein 
mis:MICPUN_103307    hypothetical protein 
mis:MICPUN_103315    hypothetical protein 
mis:MICPUN_103323    hypothetical protein 
mis:MICPUN_103325    major facilitator superfamily 
mis:MICPUN_103334    hypothetical protein 
mis:MICPUN_103335    hypothetical protein; K14844 pumilio homology domain family member 6 
