AEWD_010010	serine hydroxymethyltransferase
AEWD_010570	HRD ubiquitin ligase complex protein
AEWD_010580	hypothetical protein
AEWD_010590	hypothetical protein
AEWD_010610	RING Zn-finger domain-containing protein
AEWD_010620	hypothetical protein
AEWD_010630	trehalose-6-phosphate synthase
AEWD_010640	hypothetical protein
AEWD_010650	hypothetical protein
AEWD_010660	CCCH-type Zn-finger protein
AEWD_010670	putative ribonucleoprotein
AEWD_010680	hypothetical protein
AEWD_010690	hypothetical protein
AEWD_010700	trehalose 6-phosphate phosphatase
AEWD_010710	hypothetical protein
AEWD_010720	hypothetical protein
AEWD_010730	hypothetical protein
AEWD_010740	hypothetical protein
AEWD_010750	40S ribosomal protein S12
AEWD_010760	thioredoxin-like protein
AEWD_010770	ubiquitin conjugating enzyme E2
AEWD_010780	hypothetical protein
AEWD_010790	hypothetical protein
AEWD_010800	Tat binding protein 1-interacting protein
AEWD_010810	aldo-keto reductase
AEWD_010820	WD domain-containing protein
AEWD_010830	hypothetical protein
AEWD_010840	CDP-diacylglycerol insitol-3- phosphatidyltransferase-like protein
AEWD_010850	ubiquitin-conjugating enzyme E2
AEWD_010860	hypothetical protein
AEWD_010870	cell cycle control microtubule-binding protein
AEWD_010880	general negative regulator of transcription
AEWD_010890	hypothetical protein
AEWD_010900	Rad25-like DNA repair helicase
AEWD_010910	hypothetical protein
AEWD_010920	tRNA/rRNA cytosine-C5-methylase
AEWD_010930	hypothetical protein
AEWD_010940	SCF ubiquitin ligase and anaphase-promoting complex protein
AEWD_010950	hypothetical protein
AEWD_010960	hypothetical protein
AEWD_010970	cytochrome B5
AEWD_010980	hypothetical protein
AEWD_010990	S8 serine protease
AEWD_011000	hypothetical protein
AEWD_011010	cyclin K-like protein
AEWD_011020	chromosome segregation ATPase
AEWD_011030	hypothetical protein
AEWD_011040	replication factor C large subunit
AEWD_011050	hypothetical protein
AEWD_011060	hypothetical protein
AEWD_011070	dynamin
AEWD_011080	guanylate kinase
AEWD_011090	AAA+ ATPase
AEWD_011100	hypothetical protein
AEWD_011110	hypothetical protein
AEWD_011120	hypothetical protein
AEWD_011130	hypothetical protein
AEWD_011140	nuclear distribution C-like protein
AEWD_011150	WD40 domain-containing protein
AEWD_011160	WD40 domain-containing protein
AEWD_011170	frataxin
AEWD_011180	Rho-associated coiled-coil domain-containing protein kinase
AEWD_011190	transcription initiation factor TFIID subunit TAF9
AEWD_011200	hypothetical protein
AEWD_011210	hypothetical protein
AEWD_011220	putative RNA-binding protein
AEWD_011230	septin
AEWD_011240	glycerophosphoryl diester phosphodiesterase
AEWD_011250	chitin synthase
AEWD_011260	hypothetical protein
AEWD_011270	ATM1 mitochondrial ABC transporter
AEWD_011280	serine-glycine hydroxymethyltransferase
AEWD_020010	hypothetical protein
AEWD_020020	hypothetical protein
AEWD_020030	hypothetical protein
AEWD_020040	hypothetical protein
AEWD_020050	hsp70-like protein
AEWD_020060	hypothetical protein
AEWD_020070	hypothetical protein
AEWD_020080	hypothetical protein
AEWD_020090	putative Ran GTPase binding protein
AEWD_020100	hypothetical protein
AEWD_020110	hypothetical protein
AEWD_020120	hypothetical protein
AEWD_020130	hypothetical protein
AEWD_020140	hypothetical protein
AEWD_020150	Smp2-like plasmid maintenance protein
AEWD_020160	hypothetical protein
AEWD_020170	hypothetical protein
AEWD_020180	hypothetical protein
AEWD_020190	Sof1 domain-containing U3 snoRNP protein
AEWD_020200	putative RNA-binding protein
AEWD_020210	GATA zinc finger domain-containing protein
AEWD_020220	hypothetical protein
AEWD_020230	hypothetical protein
AEWD_020240	replication factor C small subunit
AEWD_020250	hypothetical protein
AEWD_020260	zinc finger domain-containing protein
AEWD_020270	hypothetical protein
AEWD_020280	putative E1-E2 ATPase
AEWD_020290	proteasome beta type-3 subunit
AEWD_020300	hypothetical protein
AEWD_020310	hypothetical protein
AEWD_020320	hypothetical protein
AEWD_020330	hypothetical protein
AEWD_020340	hypothetical protein
AEWD_020350	hypothetical protein
AEWD_020360	hypothetical protein
AEWD_020370	Ras-like GTP binding protein
AEWD_020380	hypothetical protein
AEWD_020390	Sec1-like intracellular trafficking protein
AEWD_020400	glutathione peroxidase
AEWD_020410	transcription initiation factor IIA subunit gamma
AEWD_020420	nucleoporin autopeptidase domain-containing protein
AEWD_020430	hypothetical protein
AEWD_020440	26S proteasome regulatory complex protein
AEWD_020450	hypothetical protein
AEWD_020460	hypothetical protein
AEWD_020470	mitogen-activated protein kinase
AEWD_020480	TCP-1 chaperonin subunit delta
AEWD_020500	hypothetical protein
AEWD_020520	hypothetical protein
AEWD_020530	catalytic protein kinase
AEWD_020540	hypothetical protein
AEWD_020550	hypothetical protein
AEWD_020560	hydroxyacylglutathione hydrolase
AEWD_020570	hypothetical protein
AEWD_020580	hypothetical protein
AEWD_020590	ribosomal protein L5
AEWD_020600	hypothetical protein
AEWD_020610	hypothetical protein
AEWD_020620	hypothetical protein
AEWD_020630	hypothetical protein
AEWD_020640	dead box helicase
AEWD_020650	hypothetical protein
AEWD_020660	HscB-like chaperone
AEWD_020670	hypothetical protein
AEWD_020680	hypothetical protein
AEWD_020690	putative histone-like transcription factor
AEWD_020700	poly(A) polymerase
AEWD_020710	ubiquitin
AEWD_020720	60S ribosomal protein L7a
AEWD_020730	S26 type I signal peptidase
AEWD_020740	ribosomal protein S17
AEWD_020750	transcription initiation factor IIF small subunit
AEWD_020760	ribosomal protein L6
AEWD_020770	ribosomal protein L24
AEWD_020780	hypothetical protein
AEWD_020790	hypothetical protein
AEWD_020800	hypothetical protein
AEWD_020810	thioredoxin domain-containing protein
AEWD_020820	aminotransferase
AEWD_020830	hypothetical protein
AEWD_020850	40S ribosomal protein S8
AEWD_020860	hypothetical protein
AEWD_020870	ribosomal protein L35Ae
AEWD_020880	hypothetical protein
AEWD_020890	hypothetical protein
AEWD_020900	Suf domain-containing protein
AEWD_020910	thioredoxin reductase
AEWD_020920	hypothetical protein
AEWD_020930	emp24/gp25L domain-containing protein
AEWD_020940	transport protein particle component
AEWD_020950	hypothetical protein
AEWD_020960	hypothetical protein
AEWD_020970	hypothetical protein
AEWD_020980	hypothetical protein
AEWD_020990	LSM domain-containing protein
AEWD_021000	hypothetical protein
AEWD_021010	hypothetical protein
AEWD_021030	nascent polypeptide-associated complex domain- containing protein
AEWD_021040	protein prenyltransferase subunit alpha
AEWD_021050	hypothetical protein
AEWD_021060	ubiquitin domain-containing protein
AEWD_021070	RAD3-like DNA-binding helicase
AEWD_021080	heat shock protein 90
AEWD_021090	hypothetical protein
AEWD_021100	hypothetical protein
AEWD_021110	protein kinase domain-containing protein
AEWD_021120	microsomal signal peptidase 25 kDa subunit
AEWD_021130	DNA replication licensing factor
AEWD_021140	hypothetical protein
AEWD_021150	nuclear transport factor 2 domain-containing protein
AEWD_021160	hypothetical protein
AEWD_021170	hypothetical protein
AEWD_021180	homeobox domain-containing protein
AEWD_021190	tRNA synthetase class I
AEWD_021200	DNA ligase
AEWD_021210	Sec23/Sec24-like protein
AEWD_021220	chromosome condensation complex Condensin subunit D2
AEWD_021230	transcription initiation factor TFIID
AEWD_021240	hypothetical protein
AEWD_021250	mitosis protein DIM1
AEWD_021260	hypothetical protein
AEWD_021270	hypothetical protein
AEWD_021280	dolichyl-phosphate-mannose-proteinmannosyltransfe rase
AEWD_021290	hypothetical protein
AEWD_021300	hypothetical protein
AEWD_021310	hypothetical protein
AEWD_021320	hypothetical protein
AEWD_021330	transcription factor E2F
AEWD_021340	prolyl-tRNA synthetase
AEWD_021350	trehalase
AEWD_021360	peptidase M48 domain-containing protein
AEWD_021370	hypothetical protein
AEWD_021380	hypothetical protein
AEWD_021390	RAB protein geranylgeranyltransferase subunit A
AEWD_021400	hypothetical protein
AEWD_021410	hypothetical protein
AEWD_021420	hypothetical protein
AEWD_021430	serine/threonine kinase
AEWD_021440	Sec23 domain-containing protein
AEWD_021450	prenylated RAB acceptor 1
AEWD_021460	hypothetical protein
AEWD_021480	alanyl-tRNA synthetase
AEWD_021490	transcription initiation factor TFIID subunit A
AEWD_021500	hypothetical protein
AEWD_021510	putative DEAD-box helicase
AEWD_021520	hypothetical protein
AEWD_021530	hypothetical protein
AEWD_030010	hypothetical protein
AEWD_030020	hypothetical protein
AEWD_030030	hypothetical protein
AEWD_030040	hypothetical protein
AEWD_030050	hypothetical protein
AEWD_030060	nucleotide sugar transporter
AEWD_030070	hypothetical protein
AEWD_030080	hypothetical protein
AEWD_030090	chromatin organization modifier domain- containing protein
AEWD_030100	hypothetical protein
AEWD_030110	Mg-dependent DNase
AEWD_030120	Psp1-like protein
AEWD_030130	T-complex protein 1 subunit alpha
AEWD_030140	60S ribosomal protein L31e
AEWD_030150	MdlB-like ABC transporter
AEWD_030160	hypothetical protein
AEWD_030170	hypothetical protein
AEWD_030180	vesicle coat complex subunit gamma
AEWD_030190	UTP-glucose-1-phosphate uridylyltransferase
AEWD_030200	RNA polymerase II large subunit Rpb1
AEWD_030210	SCF ubiquitin ligase Skp1-like protein
AEWD_030220	V-type ATPase subunit F
AEWD_030230	40S ribosomal protein S16
AEWD_030240	60S ribosomal protein L13
AEWD_030260	phosphatidylinositol-4-phosphate 5-kinase
AEWD_030270	phosphoglucomutase
AEWD_030280	hypothetical protein
AEWD_030300	U6 snRNA associated Sm-like protein
AEWD_030310	hypothetical protein
AEWD_030320	hypothetical protein
AEWD_030330	ABCG-like transporter
AEWD_030340	hypothetical protein
AEWD_030350	hypothetical protein
AEWD_030360	Spt16/Cdc68-like protein
AEWD_030370	WD40 domain-containing protein
AEWD_030380	DNA-directed RNA polymerase subunit B
AEWD_030390	hypothetical protein
AEWD_030400	sirtuin-like protein
AEWD_030410	ADP-ribosylation factor-like GTPase
AEWD_030420	splicing factor 3a subunit 2
AEWD_030430	DNA-directed RNA polymerase subunit M
AEWD_030440	vacuolar H+-ATPase V1 sector subunit C
AEWD_030450	hypothetical protein
AEWD_030460	heat shock protein 70
AEWD_030470	synaptobrevin/VAMP-like protein
AEWD_030480	MutS-like mismatch repair ATPase
AEWD_030490	Rho/Rac/Cdc42-like GTPase guanine nucleotide exchange factor
AEWD_030500	putative GTPase-activating protein
AEWD_030510	vacuolar import and degradation protein
AEWD_030520	ubiquitin carboxyl-terminal hydrolase
AEWD_030530	Rab GTPase-interacting Golgi membrane protein
AEWD_030540	homeodomain-containing transcription factor
AEWD_030550	homeodomain-containing transcription factor
AEWD_030560	serine/threonine-specific kinase
AEWD_030570	protein kinase
AEWD_030580	hypothetical protein
AEWD_030590	40S ribosomal protein S14
AEWD_030600	isopeptidase T
AEWD_030610	ribonuclease HII
AEWD_030620	ATP-dependent 6-phosphofructokinase
AEWD_030630	hypothetical protein
AEWD_030640	exoribonuclease R
AEWD_030650	60S ribosomal protein L34
AEWD_030660	RNA binding domain-containing protein
AEWD_030670	RNA-binding protein
AEWD_030680	RNA-binding protein
AEWD_030690	hypothetical protein
AEWD_030700	hypothetical protein
AEWD_030710	hypothetical protein
AEWD_030720	ubiquitin-related modifier-like protein
AEWD_030730	putative TRAPP subunit
AEWD_030740	beta-tubulin
AEWD_030750	hypothetical protein
AEWD_030760	small nuclear ribonucleoprotein
AEWD_030770	hypothetical protein
AEWD_030780	hypothetical protein
AEWD_030790	hypothetical protein
AEWD_030800	hypothetical protein
AEWD_030810	haspin serine/threonine kinase
AEWD_030820	Sec1-like intracellular trafficking and secretion protein
AEWD_030830	protein kinase
AEWD_030840	putative tRNA-intron endonuclease
AEWD_030850	ubiquitin-activating enzyme E1
AEWD_030860	putative G2/M transition transcriptional repressor
AEWD_030870	60S ribosomal protein L7
AEWD_030880	hypothetical protein
AEWD_030890	hypothetical protein
AEWD_030900	serine/threonine protein kinase
AEWD_030910	SCP/PR1 domain-containing protein
AEWD_030920	hypothetical protein
AEWD_030930	14-3-3-like signal transduction protein
AEWD_030940	hypothetical protein
AEWD_030950	Cdc6-like protein
AEWD_030960	transcription initiation factor TFIIIB subunit Bdp1
AEWD_030970	hypothetical protein
AEWD_030980	hypothetical protein
AEWD_030990	transcription initiation factor IIA large chain
AEWD_031000	flap endonuclease-1
AEWD_031010	hypothetical protein
AEWD_031030	phosphatidylinositol 4-kinase beta
AEWD_031040	hypothetical protein
AEWD_031050	hypothetical protein
AEWD_031060	putative V-type ATP synthase subunit
AEWD_031070	DNA repair Rad51-like protein
AEWD_031080	hypothetical protein
AEWD_031090	calponin
AEWD_031100	Sac-like phosphoinositide polyphosphatase
AEWD_031110	homeodomain-containing transcription factor
AEWD_031120	peptidase S8-like protein
AEWD_031130	peroxiredoxin
AEWD_031140	hypothetical protein
AEWD_031150	60S ribosomal protein L3
AEWD_031160	hypothetical protein
AEWD_031170	adenine nucleotide alpha hydrolase
AEWD_031180	hypothetical protein
AEWD_031190	hypothetical protein
AEWD_031200	cytidylate kinase
AEWD_031210	hypothetical protein
AEWD_031220	molybdopterin biosynthesis protein MoeB
AEWD_031230	hypothetical protein
AEWD_031250	hypothetical protein
AEWD_031260	hypothetical protein
AEWD_031270	ATP-dependent 26S proteasome regulatory subunit 7
AEWD_031280	hypothetical protein
AEWD_031290	N-myristoyl transferase
AEWD_031300	Myg1-like protein
AEWD_031310	histone deacetylase
AEWD_031320	PelA-like RNA-binding protein
AEWD_031330	putative sugar kinase
AEWD_031340	homeobox domain-containing protein
AEWD_031350	hypothetical protein
AEWD_031360	Cdc48-like ATPase
AEWD_031370	hypothetical protein
AEWD_031380	Rab GTPase
AEWD_031390	tRNA nucleotidyltransferase/poly(A) polymerase
AEWD_031400	hypothetical protein
AEWD_031410	histone H3
AEWD_031420	hypothetical protein
AEWD_031430	hypothetical protein
AEWD_031440	60S ribosomal protein L18
AEWD_031450	hypothetical protein
AEWD_031460	hypothetical protein
AEWD_031470	CCAAT-binding factor subunit B
AEWD_031480	WD40 domain-containing protein
AEWD_031490	Snf2-like DNA/RNA helicase
AEWD_031500	hypothetical protein
AEWD_031510	hypothetical protein
AEWD_031520	Rho-like GTPase
AEWD_031530	Ca2+-binding protein
AEWD_031540	hypothetical protein
AEWD_031550	ankyrin-like protein
AEWD_031560	transcription initiation factor IIF auxiliary subunit
AEWD_031570	hypothetical protein
AEWD_040010	hypothetical protein
AEWD_040020	hypothetical protein
AEWD_040030	40S ribosomal protein S29
AEWD_040040	hypothetical protein
AEWD_040050	40S ribosomal protein S5
AEWD_040060	hypothetical protein
AEWD_040070	hypothetical protein
AEWD_040090	hypothetical protein
AEWD_040100	transcription elongation factor S-II
AEWD_040110	hypothetical protein
AEWD_040130	protein phosphatase 2A
AEWD_040140	putative glucose transporter
AEWD_040150	histone acetyltransferase complex SAGA/ADA subunit ADA2
AEWD_040160	hypothetical protein
AEWD_040170	HrpA-like helicase
AEWD_040180	DHHC-type Zn finger domain-containing protein
AEWD_040190	hypothetical protein
AEWD_040200	RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH subunit SSL1
AEWD_040210	hypothetical protein
AEWD_040220	protein tyrosine phosphatase
AEWD_040230	26S proteasome regulatory complex protein
AEWD_040240	hypothetical protein
AEWD_040250	60S ribosomal protein L27
AEWD_040260	hypothetical protein
AEWD_040270	DNA topoisomerase II
AEWD_040280	hypothetical protein
AEWD_040290	hypothetical protein
AEWD_040300	hypothetical protein
AEWD_040310	heat shock transcription factor
AEWD_040320	hypothetical protein
AEWD_040330	proteasome 26S non-ATPase subunit 7
AEWD_040340	hypothetical protein
AEWD_040350	hypothetical protein
AEWD_040360	40S ribosomal protein SA
AEWD_040380	dimethyladenosine transferase
AEWD_040390	hypothetical protein
AEWD_040400	MdlB-type ABC transporter
AEWD_040410	hypothetical protein
AEWD_040420	E3 ubiquitin-protein ligase
AEWD_040430	hypothetical protein
AEWD_040440	putative RNA-binding protein
AEWD_040450	hypothetical protein
AEWD_040460	putative heat shock transcription factor
AEWD_040470	hypothetical protein
AEWD_040480	hypothetical protein
AEWD_040490	hypothetical protein
AEWD_040500	uridine diphosphate-N-acetylglucosamine transporter
AEWD_040510	hypothetical protein
AEWD_040520	lysyl-tRNA synthetase
AEWD_040530	X-prolyl aminopeptidase
AEWD_040540	hypothetical protein
AEWD_040550	putative methyltransferase
AEWD_040560	ubiquitin-conjugating enzyme E2
AEWD_040570	40S ribosomal protein S11
AEWD_040580	hypothetical protein
AEWD_040590	putative lipase
AEWD_040600	putative dolichol kinase
AEWD_040610	Rab11-like GTPase
AEWD_040620	vacuolar protein sorting-associated protein
AEWD_040630	PP2A-like phosphoprotein phosphatase
AEWD_040640	mitotic phase inducer phosphatase
AEWD_040650	peptidyl-tRNA hydrolase
AEWD_040660	hypothetical protein
AEWD_040670	putative 6-phosphogluconolactonase
AEWD_040680	60S ribosomal protein L22
AEWD_040690	seryl-tRNA synthetase
AEWD_040700	U5 snRNP spliceosome subunit
AEWD_040710	hypothetical protein
AEWD_040720	translation initiation factor 6
AEWD_040730	Sm-like ribonucleoprotein
AEWD_040740	hypothetical protein
AEWD_040750	Ca2+-binding protein
AEWD_040760	Nop56p-like protein
AEWD_040770	hypothetical protein
AEWD_040780	asparagine synthase
AEWD_040790	minichromosome maintenance protein
AEWD_040800	hypothetical protein
AEWD_040810	cohesin
AEWD_040820	hypothetical protein
AEWD_040830	pseudouridine synthase
AEWD_040840	phenylalanyl-tRNA synthetase subunit beta
AEWD_040850	superfamily II RNA helicase
AEWD_040870	hypothetical protein
AEWD_040880	chromosome segregation ATPase
AEWD_040890	endoplasmic reticulum translocation complex subunit Sec66
AEWD_040900	transcription initiation factor TFIID subunit TAF13
AEWD_040910	hypothetical protein
AEWD_040920	homeodomain-containing protein
AEWD_040930	signal recognition particle GTPase
AEWD_040940	hypothetical protein
AEWD_040950	myosin heavy chain
AEWD_040960	hypothetical protein
AEWD_040970	40S ribosomal protein S27
AEWD_040980	T-complex protein 1 subunit theta
AEWD_040990	homeodomain-containing protein
AEWD_041000	hypothetical protein
AEWD_041010	hypothetical protein
AEWD_041020	dolichol-phosphate mannosyltransferase
AEWD_041030	topoisomerase IA
AEWD_041040	hypothetical protein
AEWD_041050	actin-like protein
AEWD_041060	translation elongation factor EF-1 alpha
AEWD_041070	DNA topoisomerase VI subunit A
AEWD_041080	hypothetical protein
AEWD_041090	alpha-1,2 mannosyl-transferase
AEWD_041100	valyl-tRNA synthetase
AEWD_041110	hypothetical protein
AEWD_041120	pyruvate dehydrogenase subunit beta
AEWD_041130	translation initiation factor IF1A
AEWD_041140	putative Ham1 deoxyribonucleotide triphosphate pyrophosphatase
AEWD_041150	amino acid permease
AEWD_041160	SWIB domain-containing protein
AEWD_041170	ubiquitin fusion degradation protein 2
AEWD_041180	thymidylate kinase
AEWD_041190	hypothetical protein
AEWD_041200	hypothetical protein
AEWD_041210	WD40 domain-containing protein
AEWD_041220	nuclear protein export factor
AEWD_041230	hypothetical protein
AEWD_041240	lysophospholipid acyltransferase
AEWD_041250	superfamily II RNA helicase
AEWD_041260	putative RNA-binding protein
AEWD_041270	60S ribosomal protein L32
AEWD_041280	hypothetical protein
AEWD_041290	hypothetical protein
AEWD_041300	hypothetical protein
AEWD_041310	hypothetical protein
AEWD_041320	40S ribosomal protein S10
AEWD_041330	hypothetical protein
AEWD_041340	CutA-like divalent cation tolerance protein
AEWD_041350	hypothetical protein
AEWD_041360	60S ribosomal protein L13a
AEWD_041370	hypothetical protein
AEWD_041380	DNA-directed RNA polymerase subunit beta'
AEWD_041400	hypothetical protein
AEWD_041420	hypothetical protein
AEWD_041430	hypothetical protein
AEWD_041440	TATA-box binding protein
AEWD_041450	hypothetical protein
AEWD_041460	hypothetical protein
AEWD_041470	Na+/H+ antiporter
AEWD_041480	Zn-finger protein
AEWD_041490	hypothetical protein
AEWD_041500	regulator of chromosome condensation domain- containing protein
AEWD_041510	tRNA-binding domain-containing CsaA-like protein
AEWD_041520	hypothetical protein
AEWD_041530	GTPase activating protein
AEWD_041540	hypothetical protein
AEWD_041550	mRNA capping enzyme subunit beta
AEWD_041560	GTP-binding nuclear protein
AEWD_041570	hypothetical protein
AEWD_041580	hypothetical protein
AEWD_041590	hypothetical protein
AEWD_041600	hypothetical protein
AEWD_041610	hypothetical protein
AEWD_041620	hypothetical protein
AEWD_041630	hypothetical protein
AEWD_041640	hypothetical protein
AEWD_041650	hypothetical protein
AEWD_041660	hypothetical protein
AEWD_041670	hypothetical protein
AEWD_050010	kinesin motor domain-containing protein
AEWD_050020	patatin-like phospholipase domain-containing protein
AEWD_050030	hypothetical protein
AEWD_050040	putative sar1
AEWD_050050	hypothetical protein
AEWD_050060	hypothetical protein
AEWD_050070	hypothetical protein
AEWD_050080	hypothetical protein
AEWD_050090	hypothetical protein
AEWD_050100	putative amino acid permease
AEWD_050110	hypothetical protein
AEWD_050120	hypothetical protein
AEWD_050130	hypothetical protein
AEWD_050140	hypothetical protein
AEWD_050150	WD40 domain-containing protein
AEWD_050160	hypothetical protein
AEWD_050170	putative nitric-oxide synthase
AEWD_050180	40S ribosomal protein S3AE
AEWD_050190	phosphomannomutase
AEWD_050200	glycerol 3 phosphate dehydrogenase
AEWD_050210	RNA polymerase II subunit Rpb11
AEWD_050220	hypothetical protein
AEWD_050230	proteasome beta type-4 subunit
AEWD_050240	putative DNA mismatch repair protein
AEWD_050250	acetyl-CoA synthetase
AEWD_050260	phosphoglycerate kinase
AEWD_050270	DNA polymerase alpha/epsilon-like protein
AEWD_050280	hypothetical protein
AEWD_050290	RSC chromatin remodeling complex subunit RSC8
AEWD_050300	eukaryotic peptide chain release factor subunit 1
AEWD_050310	hypothetical protein
AEWD_050320	hypothetical protein
AEWD_050330	beta-CASP domain-containing protein
AEWD_050340	hypothetical protein
AEWD_050350	vacuolar ATP synthase subunit E-like protein
AEWD_050360	putative GTPase
AEWD_050370	hypothetical protein
AEWD_050380	hypothetical protein
AEWD_050390	hypothetical protein
AEWD_050400	calcineurin-like phosphoesterase domain- containing protein
AEWD_050410	CCAAT-binding factor subunit C
AEWD_050420	putative phosphoesterase
AEWD_050430	ribosomal protein L10-like protein
AEWD_050440	hypothetical protein
AEWD_050450	hypothetical protein
AEWD_050460	hypothetical protein
AEWD_050470	putative transcription initiation factor TFIIIB
AEWD_050480	hypothetical protein
AEWD_050490	hypothetical protein
AEWD_050500	hypothetical protein
AEWD_050510	FAT domain-containing protein
AEWD_050520	hypothetical protein
AEWD_050530	Fcf1 domain-containing protein
AEWD_050540	hypothetical protein
AEWD_050550	putative amino acid transporter
AEWD_050560	hypothetical protein
AEWD_050580	putative ribosomal protein L1
AEWD_050590	hypothetical protein
AEWD_050600	Ran GTPase-activating protein
AEWD_050610	putative serine/threonine kinase
AEWD_050620	hypothetical protein
AEWD_050630	glucose-6-phosphate isomerase
AEWD_050640	hypothetical protein
AEWD_050650	ribosomal protein S6e
AEWD_050660	putative pseudouridine synthase
AEWD_050670	putative membrane protein
AEWD_050680	hypothetical protein
AEWD_050690	RhoGAP domain-containing protein
AEWD_050700	hypothetical protein
AEWD_050710	serine palmitoyltransferase
AEWD_050720	hypothetical protein
AEWD_050730	hypothetical protein
AEWD_050740	peptidase C48 domain-containing protein
AEWD_050750	hypothetical protein
AEWD_050760	minichromosome maintenance protein
AEWD_050770	hypothetical protein
AEWD_050780	putative GTPase
AEWD_050790	serine/threonine protein phosphatase 2A-like protein
AEWD_050800	hypothetical protein
AEWD_050810	hypothetical protein
AEWD_050820	PX domain-containing protein
AEWD_050830	hypothetical protein
AEWD_050840	6-phosphogluconate dehydrogenase
AEWD_050850	HAM1 domain-containing protein
AEWD_050860	hypothetical protein
AEWD_050880	hypothetical protein
AEWD_050890	hypothetical protein
AEWD_050900	ribosomal protein L21
AEWD_050910	small nuclear ribonucleoprotein
AEWD_050920	40S ribosomal protein S9
AEWD_050930	phosphatidylinositol transfer protein
AEWD_050940	putative superfamily II RNA helicase
AEWD_050950	putative SAM dependent methyltransferase
AEWD_050960	hypothetical protein
AEWD_050970	hypothetical protein
AEWD_050980	anaphase-promoting complex subunit 10
AEWD_050990	DNA polymerase type-B alpha subfamily catalytic domain-containing protein
AEWD_051000	ADP-ribosylation factor family domain-containing protein
AEWD_051010	WD G-beta repeat domain-containing protein
AEWD_051020	putative centromere/microtubule binding protein 5
AEWD_051030	putative proliferating cell nuclear antigen
AEWD_051040	hypothetical protein
AEWD_051050	hypothetical protein
AEWD_051060	RNA pol Rpb4 domain-containing protein
AEWD_051070	putative RIO kinase
AEWD_051080	putative proteasome regulatory complex component
AEWD_051090	hypothetical protein
AEWD_051100	hypothetical protein
AEWD_051110	putative DNA helicase
AEWD_051120	tyrosinyl-tRNA synthetase catalytic core domain- containing protein
AEWD_051130	pre-mRNA cleavage GTPase subunit
AEWD_051140	putative Cdc48 ATPase
AEWD_051150	hypothetical protein
AEWD_051160	hypothetical protein
AEWD_051170	hypothetical protein
AEWD_051180	hypothetical protein
AEWD_051190	elongation factor 3
AEWD_051200	hypothetical protein
AEWD_051210	putative DNA primase
AEWD_051220	putative t-SNARE complex subunit
AEWD_051230	putative G10 protein
AEWD_051240	putative gamma-glutamyltransferase
AEWD_051250	putative phosphatidate cytidylyltransferase
AEWD_051260	hypothetical protein
AEWD_051270	putative ATP-dependent RNA helicase
AEWD_051280	putative Mre11 subunit
AEWD_051290	hypothetical protein
AEWD_051300	hypothetical protein
AEWD_051310	LSM domain-containing protein
AEWD_051320	ribosomal protein S4-like protein
AEWD_051330	putative DNA replication protein kinase
AEWD_051340	proteasome alpha subunit
AEWD_051350	PUA domain-containing protein
AEWD_051370	putative nucleotidyl transferase
AEWD_051380	putative Zn-dependent protease
AEWD_051390	glutaredoxin domain-containing protein
AEWD_051400	peptidase M48 domain-containing protein
