
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T01029
To: KEGG GENES
Hits: 7603 from 1 database
ID                   Definition
olu:OSTLU_10631      hypothetical protein 
olu:OSTLU_10632      hypothetical protein 
olu:OSTLU_10646      hypothetical protein; K09584 protein disulfide-isomerase A6 [EC:5.3.4.1] 
olu:OSTLU_10647      hypothetical protein 
olu:OSTLU_10652      hypothetical protein 
olu:OSTLU_10658      hypothetical protein 
olu:OSTLU_10660      hypothetical protein 
olu:OSTLU_10662      hypothetical protein 
olu:OSTLU_10664      hypothetical protein; K02639 ferredoxin 
olu:OSTLU_10668      hypothetical protein; K02221 YggT family protein 
olu:OSTLU_10686      Tat family transporter: pH-dependent thylakoid protein export into thylakoid; K03116 sec-independent 
olu:OSTLU_1075       hypothetical protein 
olu:OSTLU_11         hypothetical protein 
olu:OSTLU_1114       hypothetical protein 
olu:OSTLU_1118       hypothetical protein 
olu:OSTLU_1175       hypothetical protein 
olu:OSTLU_1178       hypothetical protein 
olu:OSTLU_1184       hypothetical protein; K00147 glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41] 
olu:OSTLU_118778     PSBP3; lumenal PsbP-like protein; K02717 photosystem II oxygen-evolving enhancer protein 2 
olu:OSTLU_118781     CIF2; chloroplast translation initiation factor 2; K02519 translation initiation factor IF-2 
olu:OSTLU_119295     Tdc; transducin / WD-40 repeat protein, putative; K12616 enhancer of mRNA-decapping protein 4 
olu:OSTLU_119367     Sf3b2; splicing factor 3B subunit2, probable; K12829 splicing factor 3B subunit 2 
olu:OSTLU_119368     Dsp; Dual specificity phosphatase, probable 
olu:OSTLU_119369     Orfan157; Orphan protein 
olu:OSTLU_119370     FBP1; F-box protein 
olu:OSTLU_119378     PsaE; Photosystem I reaction center subunit IV, probable; K02693 photosystem I subunit IV 
olu:OSTLU_119388     Maf; septum formation protein MAF-like protein; K06287 septum formation protein 
olu:OSTLU_119389     CysR; Cys-containing conserved protein 
olu:OSTLU_119390     Dfa1; Diflavin flavoprotein A 1-like protein 
olu:OSTLU_119396     Unk4; hypothetical protein 
olu:OSTLU_119405     LppQ; Lipoprotein Q-related gene 
olu:OSTLU_119464     DlsT; 2-oxoglutarate dehydrogenase E2 subunit-like protein; K00658 2-oxoglutarate dehydrogenase E2 c 
olu:OSTLU_119465     TraS1; DodoPi transposase-like protein 
olu:OSTLU_119472     Ccd-Arp; Carotenoid dioxygenase plastidic fusion protein, putative 
olu:OSTLU_119473     Isr; inhibitor of striate chloroplast protein-like protein 
olu:OSTLU_119474     Glk; Glucokinase 
olu:OSTLU_119479     TraS3; hypothetical protein 
olu:OSTLU_119480     TubG; gamma tubulin; K10389 tubulin gamma 
olu:OSTLU_119481     Hpt1; homogentisate phytylprenyltransferase/homogentisic acid geranylgeranyl transferase; K09833 hom 
olu:OSTLU_119482     Rpl19e; ribosomal protein L19; K02885 large subunit ribosomal protein L19e 
olu:OSTLU_119483     Hel1; DEAD-box helicase, probable 
olu:OSTLU_119484     Rps28e; Ribosomal protein S28e; K02979 small subunit ribosomal protein S28e 
olu:OSTLU_119485     ErcC; NA excision repair protein ERCC-1-like protein; K10849 DNA excision repair protein ERCC-1 
olu:OSTLU_119486     SmkH; Protein Lysyl hydroxylase fusion protein, putative 
olu:OSTLU_119488     LacZ; Beta-galactosidase, putative; K01190 beta-galactosidase [EC:3.2.1.23] 
olu:OSTLU_119489     Abc1; ABC1 family protein-like protein; K08869 aarF domain-containing kinase 
olu:OSTLU_119490     Unk1; hypothetical protein 
olu:OSTLU_119491     EtnK; hypothetical protein 
olu:OSTLU_119492     Psf2; DNA replication complex GINS protein PSF2, putative; K10733 GINS complex subunit 2 
olu:OSTLU_119493     Rbx1; RING-box protein 1; K03868 RING-box protein 1 
olu:OSTLU_119494     VaoD; vacuolar ATP synthase subunit D, probable; K02146 V-type H+-transporting ATPase subunit AC39 [ 
olu:OSTLU_119495     ChlI; Magnesium-protoporyphyrin IX chelatase subunit chlI; K03405 magnesium chelatase subunit I [EC: 
olu:OSTLU_119497     PsbW; Photosystem II reaction center W protein, chloroplast precursor; K02721 photosystem II PsbW pr 
olu:OSTLU_119498     Ggh; geranylgeranyl reductase; K10960 geranylgeranyl reductase [EC:1.3.1.83] 
olu:OSTLU_119499     Tim; circadian rhythm control Timeless-like protein 
olu:OSTLU_119500     GpaT; Glycerol-3-phosphate acyltransferase, probable; K00630 glycerol-3-phosphate O-acyltransferase  
olu:OSTLU_119501     Unk2; hypothetical protein 
olu:OSTLU_119502     PsaL; photosystem I subunit XI precursor; K02699 photosystem I subunit XI 
olu:OSTLU_119503     Olu1; hypothetical protein 
olu:OSTLU_119504     Pmp1; hypothetical membrane protein 
olu:OSTLU_119505     Erd2; ERD2-like protein; K10949 ER lumen protein retaining receptor 
olu:OSTLU_119506     MgdA; Monogalactosyldiacylglycerol (MGDG) synthase; K03715 1,2-diacylglycerol 3-beta-galactosyltrans 
olu:OSTLU_119507     smo1; Conserved small cysteine-containing protein of unknown function 
olu:OSTLU_119508     Pph1; protein phosphatase 2C-like protein 
olu:OSTLU_119509     Ogd; hypothetical protein 
olu:OSTLU_119510     Fip1; Fip1 motif containing protein 
olu:OSTLU_119511     Coq4; Ubiquinone biosynthesis protein COQ4-like protein 
olu:OSTLU_119512     Cup62; hypothetical protein 
olu:OSTLU_119513     HemK; protein methyltransferase; K02493 release factor glutamine methyltransferase [EC:2.1.1.-] 
olu:OSTLU_119514     Rlp24; ribosome biogenesis protein RLP24, probable; K02896 large subunit ribosomal protein L24e 
olu:OSTLU_119515     Bop1; Ribosome biogenesis protein BOP1 (Block of proliferation 1 protein), probable; K14824 ribosome 
olu:OSTLU_119516     Osp1; Orfan Protein 
olu:OSTLU_119517     Alg2; glycosyl transferase, putative alpha-1,3-mannosyltransferase; K03843 alpha-1,3/alpha-1,6-manno 
olu:OSTLU_119518     Hda; histone deacetylase, probable; K06067 histone deacetylase 1/2 [EC:3.5.1.98] 
olu:OSTLU_119519     Cup105; hypothetical protein 
olu:OSTLU_119520     Mcm3; replication origin activator MCM3, probable; K02541 DNA replication licensing factor MCM3 [EC: 
olu:OSTLU_119521     Tl30; thylakoid lumenal 30 kDa protein, probable 
olu:OSTLU_119522     Acr2; DNA-directed RNA polymerase I polypeptide 2; K03002 DNA-directed RNA polymerase I subunit RPA2 
olu:OSTLU_119523     His8; Histidinol-phosphate aminotransferase, chloroplast precursor, probable; K00817 histidinol-phos 
olu:OSTLU_119524     Rwp1; RWP-RK domain-containing protein 
olu:OSTLU_119525     YchF; Nucleic acid binding GTPase, translation factor, putative; K06942 
olu:OSTLU_119526     ArbK; armadillo/beta-catenin repeat protein 
olu:OSTLU_119527     Tho2; transcription & nuclear export THO-TREX component protein Tho2-like protein; K12879 THO comple 
olu:OSTLU_119528     TraS4; transposase-like protein 
olu:OSTLU_119529     Osp2; Orfan protein 
olu:OSTLU_119530     IpdH; inosine 5'-phosphate dehydrogenase; K00088 IMP dehydrogenase [EC:1.1.1.205] 
olu:OSTLU_119531     PanB; ketopantoate hydroxymethyltransferase; K00606 3-methyl-2-oxobutanoate hydroxymethyltransferase 
olu:OSTLU_119532     CopG; Coatomer gamma subunit; K17267 coatomer protein complex, subunit gamma 
olu:OSTLU_119533     Osp3; orphan protein 
olu:OSTLU_119534     AgbP; ATP/GTP-binding protein, putative 
olu:OSTLU_119535     Rrp4; RNA-binding protein, possibly exosome complex Ribosomal RNA processing protein 
olu:OSTLU_119536     Pho4; high affinity phosphate transporter, probable; K14640 solute carrier family 20 (sodium-depende 
olu:OSTLU_119537     Cup200; hypothetical protein 
olu:OSTLU_119538     YvdD; lysine decarboxylase-related protein; K06966 
olu:OSTLU_119539     Hrr; Bromodomain transcription factor, putative 
olu:OSTLU_119540     Kin17; kin17-like protein; K13102 DNA/RNA-binding protein KIN17 
olu:OSTLU_119541     Prp45; Pre-mRNA splicing factor prp45; K06063 SNW domain-containing protein 1 
olu:OSTLU_119542     ArgS; arginyl-tRNA synthetase; K01887 arginyl-tRNA synthetase [EC:6.1.1.19] 
olu:OSTLU_119543     SgpL; Sphingosine-1-phosphate lyase; K01634 sphinganine-1-phosphate aldolase [EC:4.1.2.27] 
olu:OSTLU_119544     Spt4; Transcription elongation factor SPT4; K15171 transcription elongation factor SPT4 
olu:OSTLU_119545     Hda2; histone deacetylase; K06067 histone deacetylase 1/2 [EC:3.5.1.98] 
olu:OSTLU_119546     VatL; vacuolar type H+-ATPase proteolipid subunit; K02155 V-type H+-transporting ATPase 16kDa proteo 
olu:OSTLU_119547     Kea1; potassium:hydrogen antiporter, putative 
olu:OSTLU_119548     Ardh; arogenate dehydrogenase, putative; K15227 arogenate dehydrogenase (NADP+), plant [EC:1.3.1.78] 
olu:OSTLU_119549     IleS; Isoleucine-tRNA synthetase; K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5] 
olu:OSTLU_119550     Utp6; U3 snoRNP protein Utp6p; K14557 U3 small nucleolar RNA-associated protein 6 
olu:OSTLU_119551     Cut1; Separase, putative; K02365 separase [EC:3.4.22.49] 
olu:OSTLU_119552     If4E; eukaryotic translation initiation factor 4E; K03259 translation initiation factor 4E 
olu:OSTLU_119553     Swr1; Swr1-Pie_related helicase 
olu:OSTLU_119554     Mak16; MAK16-like nucleolar RNA binding protein, putative; K14831 protein MAK16 
olu:OSTLU_119556     CycA; hypothetical protein; K06627 cyclin A 
olu:OSTLU_119558     Cup67; hypothetical protein 
olu:OSTLU_119559     Exo1c; Exodeoxyribonuclease I 
olu:OSTLU_119560     Snt8; chloroplast thylakoid protein kinase STN7, probable 
olu:OSTLU_119561     Pks1; polyketide synthase 
olu:OSTLU_119562     Olp1; hypothetical protein 
olu:OSTLU_119563     Utp20; snoRNA-binding nucleolar protein, putative; K14772 U3 small nucleolar RNA-associated protein  
olu:OSTLU_119564     Apm1; clathrin adaptor medium subunit, putative; K12393 AP-1 complex subunit mu 
olu:OSTLU_119565     Cug1; Conserved Green lineage protein of Unknown function 
olu:OSTLU_119566     Bip; Luminal binding protein precursor, probable; K09490 heat shock 70kDa protein 5 
olu:OSTLU_119568     HecR; chromosome segregation HEC-related protein 
olu:OSTLU_119569     Cup201; hypothetical protein 
olu:OSTLU_119570     SmoX; hypothetical protein 
olu:OSTLU_119571     Wdr50; WD-repeat protein; K14553 U3 small nucleolar RNA-associated protein 18 
olu:OSTLU_119572     Ddx49; Ddx49-related DEAD box helicase superfamily II protein; K14778 ATP-dependent RNA helicase DDX 
olu:OSTLU_119573     AcnB; aconitate hydratase; K01682 aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 
olu:OSTLU_119574     DrnK; deoxyribonucleoside kinase, putative 
olu:OSTLU_119575     AsnB; Asparagine synthase (glutamine-hydrolyzing) related protein 
olu:OSTLU_119576     Olp2; hypothetical protein 
olu:OSTLU_119577     Bem46; Protein bem46-like protein; K06889 
olu:OSTLU_119578     Xab1; XPA (DNA repair protein)-binding GTPase-like protein; K06883 
olu:OSTLU_119579     AatP; Novel AAA ATPase 
olu:OSTLU_119580     srrA; hypothetical protein; K13431 signal recognition particle receptor subunit alpha 
olu:OSTLU_119581     ClpP3; chloroplast Clp protease, subunit of ClpP peptidase complex; K01358 ATP-dependent Clp proteas 
olu:OSTLU_119583     Smo4; hypothetical protein 
olu:OSTLU_119584     Soj; Sojo-related cytoskeleton protein, putative 
olu:OSTLU_119585     Rpl17r; Ribosomal protein L17-like protein 
olu:OSTLU_119586     CopZ; Coatomer protein complex, subunit zeta 1 
olu:OSTLU_119587     Tlp20; thylakoid lumenal 20 kDa protein, putative 
olu:OSTLU_119588     Srp9; Signal recognition particle 9 kDa protein, putative 
olu:OSTLU_119589     Rsp1; Splicing factor 5-related RNA binding protein 
olu:OSTLU_119590     AtpB; ATP synthase beta chain, mitochondrial precursor; K02133 F-type H+-transporting ATPase subunit 
olu:OSTLU_119591     Rpc3; DNA-directed RNA polymerase III 62 kDa polypeptide (RNA polymerase C subunit 3) 
olu:OSTLU_119592     Eif2a; Eukaryotic translation initiation factor 2, alpha subunit; K03237 translation initiation fact 
olu:OSTLU_119593     Dal3; hypothetical protein 
olu:OSTLU_119594     Tf2al; transcription factor IIa large subunit 3, TFIIA3, putative; K03122 transcription initiation f 
olu:OSTLU_119595     Unk3; hypothetical protein 
olu:OSTLU_119596     GatA; Glutamyl-tRNA(Gln) amidotransferase subunit A, probable; K02433 aspartyl-tRNA(Asn)/glutamyl-tR 
olu:OSTLU_119597     Syt1; synaptotagmin, Ca2+-dependent lipid-binding protein, putative 
olu:OSTLU_119598     PtpA; Phosphotyrosyl phosphate activator/protein phosphatase 2A regulatory subunit, putative; K17605 
olu:OSTLU_119599     Eif38; Eukaryotic translation initiation factor 3 subunit 8; K03252 translation initiation factor 3  
olu:OSTLU_119600     Btf3; BTF3 transcription factor, putative; K01527 nascent polypeptide-associated complex subunit bet 
olu:OSTLU_119601     E2f; transcription factor E2F; K04682 transcription factor E2F4/5 
olu:OSTLU_119604     Pap2; Phosphatidic acid Phosphatase-related protein 
olu:OSTLU_119606     Hcs; biotin holocarboxylase synthetase 1-like protein 
olu:OSTLU_119607     Bad; Beta adaptin-like protein; K12392 AP-1 complex subunit beta-1 
olu:OSTLU_119608     TyrS; Tyrosyl-tRNA synthetase, probable; K01866 tyrosyl-tRNA synthetase [EC:6.1.1.1] 
olu:OSTLU_119609     PheS; phenylalanine-tRNA synthetase, probable; K01889 phenylalanyl-tRNA synthetase alpha chain [EC:6 
olu:OSTLU_119610     Rpc10; RPC10 subunit of RNA polymerases I, II, and III, probable; K03009 DNA-directed RNA polymerase 
olu:OSTLU_119611     Rpb9; DNA-directed RNA polymerase II subunit 9, probable; K03017 DNA-directed RNA polymerase II subu 
olu:OSTLU_119612     Caf1; polyA tail-shortening ribonuclease, probable; K12581 CCR4-NOT transcription complex subunit 7/ 
olu:OSTLU_119613     Eif6; eukaryotic translation initiation factor 6; K03264 translation initiation factor 6 
olu:OSTLU_119614     rfc5; replication factor C subunit 5 (36kDa), probable; K10756 replication factor C subunit 3/5 
olu:OSTLU_119615     Rpl36; 60S ribosomal protein L36, probable; K02920 large subunit ribosomal protein L36e 
olu:OSTLU_119616     Rpb3; DNA-directed RNA polymerase II subunit 3; K03011 DNA-directed RNA polymerase II subunit RPB3 
olu:OSTLU_119619     H2A; hypothetical protein; K11251 histone H2A 
olu:OSTLU_119620     Tf2aS; Transcription initiation factor IIA gamma chain, probable; K03123 transcription initiation fa 
olu:OSTLU_119625     Orfan14; hypothetical protein 
olu:OSTLU_119626     Pac1; Proteasome subunit alpha type 4-like protein; K02728 20S proteasome subunit alpha 3 [EC:3.4.25 
olu:OSTLU_119630     Nup62; hypothetical protein 
olu:OSTLU_119632     CycK; CycK-related cyclin family protein 
olu:OSTLU_119635     SnRnpU1; hypothetical protein 
olu:OSTLU_119643     Psma1; alpha-type C2 proteasome subunit; K02725 20S proteasome subunit alpha 6 [EC:3.4.25.1] 
olu:OSTLU_119646     Sen1; hypothetical protein; K10706 senataxin [EC:3.6.4.-] 
olu:OSTLU_119658     Rpl35p; ribosomal protein L35, chloroplast precursor; K02916 large subunit ribosomal protein L35 
olu:OSTLU_119675     TrxG; TrxG-related PHD-finger protein 
olu:OSTLU_119676     Ara54; Ara54-like RING finger protein; K11971 E3 ubiquitin-protein ligase RNF14 [EC:6.3.2.19] 
olu:OSTLU_119677     UreF; hypothetical protein 
olu:OSTLU_119678     Dur3; hypothetical protein 
olu:OSTLU_119681     UreD; urease accessory protein URED, putative; K03190 urease accessory protein 
olu:OSTLU_119682     Ufd2; hypothetical protein; K14821 bud site selection protein 20 
olu:OSTLU_119685     Z; hypothetical protein 
olu:OSTLU_119686     Y; hypothetical protein 
olu:OSTLU_119688     Cia30; Probable complex I intermediate-associated protein 30 
olu:OSTLU_119689     Oxr1; oxidoreductase of unknown specificity 
olu:OSTLU_119780     Cnx3; Molybdopterin biosynthesis CNX3/MoaC precursor Z synthase subunit; K03639 molybdenum cofactor  
olu:OSTLU_119781     Dhx57; Dhx57-like DEXH-box helicase, probable 
olu:OSTLU_1206       P-ATPase family transporter: zinc/lead/cadmium/mercury ion 
olu:OSTLU_12087      hypothetical protein; K06941 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192] 
olu:OSTLU_12103      hypothetical protein; K00059 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] 
olu:OSTLU_12108      hypothetical protein; K14402 cleavage and polyadenylation specificity factor subunit 2 
olu:OSTLU_12109      hypothetical protein 
olu:OSTLU_12116      hypothetical protein; K00773 queuine tRNA-ribosyltransferase [EC:2.4.2.29] 
olu:OSTLU_12120      hypothetical protein; K12820 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6 
olu:OSTLU_12139      hypothetical protein; K07375 tubulin beta 
olu:OSTLU_1214       hypothetical protein 
olu:OSTLU_12149      hypothetical protein; K02731 20S proteasome subunit alpha 4 [EC:3.4.25.1] 
olu:OSTLU_12168      hypothetical protein; K01519 inosine triphosphate pyrophosphatase [EC:3.6.1.19] 
olu:OSTLU_12187      hypothetical protein; K02838 ribosome recycling factor 
olu:OSTLU_12211      hypothetical protein; K07376 protein kinase, cGMP-dependent [EC:2.7.11.12] 
olu:OSTLU_12216      hypothetical protein; K00962 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] 
olu:OSTLU_12268      hypothetical protein; K00784 ribonuclease Z [EC:3.1.26.11] 
olu:OSTLU_12272      hypothetical protein 
olu:OSTLU_1228       hypothetical protein 
olu:OSTLU_12281      BASS family transporter: sodium ion/bile acid; K03453 bile acid:Na+ symporter, BASS family 
olu:OSTLU_12282      hypothetical protein; K00026 malate dehydrogenase [EC:1.1.1.37] 
olu:OSTLU_12302      hypothetical protein; K01853 cycloartenol synthase [EC:5.4.99.8] 
olu:OSTLU_1231       hypothetical protein 
olu:OSTLU_12352      hypothetical protein; K15449 tRNA wybutosine-synthesizing protein 1 
olu:OSTLU_12355      RPSa; Ribosomal protein Sa, component of cytosolic 80S ribosome and 40S small subunit; K02998 small  
olu:OSTLU_12356      hypothetical protein 
olu:OSTLU_12357      hypothetical protein; K00831 phosphoserine aminotransferase [EC:2.6.1.52] 
olu:OSTLU_12370      hypothetical protein 
olu:OSTLU_12372      hypothetical protein; K02372 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59] 
olu:OSTLU_12381      hypothetical protein; K03626 nascent polypeptide-associated complex subunit alpha 
olu:OSTLU_12408      hypothetical protein 
olu:OSTLU_12445      hypothetical protein; K11087 small nuclear ribonucleoprotein D1 
olu:OSTLU_12466      hypothetical protein; K12870 pre-mRNA-splicing factor ISY1 
olu:OSTLU_12468      hypothetical protein; K10579 ubiquitin-conjugating enzyme E2 M [EC:6.3.2.19] 
olu:OSTLU_12474      hypothetical protein; K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40 
olu:OSTLU_12475      hypothetical protein; K15423 serine/threonine-protein phosphatase 4 catalytic subunit [EC:3.1.3.16] 
olu:OSTLU_1251       hypothetical protein 
olu:OSTLU_12510      hypothetical protein; K06883 
olu:OSTLU_12516      hypothetical protein; K10878 meiotic recombination protein SPO11 
olu:OSTLU_12518      hypothetical protein; K00939 adenylate kinase [EC:2.7.4.3] 
olu:OSTLU_12543      hypothetical protein; K06185 ATP-binding cassette, subfamily F, member 2 
olu:OSTLU_12545      hypothetical protein; K05610 ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12] 
olu:OSTLU_12559      hypothetical protein; K02291 phytoene synthase [EC:2.5.1.32] 
olu:OSTLU_12560      hypothetical protein; K14864 tRNA (cytidine32/guanosine34-2'-O)-methyltransferase [EC:2.1.1.205] 
olu:OSTLU_12567      hypothetical protein; K01807 ribose 5-phosphate isomerase A [EC:5.3.1.6] 
olu:OSTLU_12576      TufM; Translation elongation factor, mitochondrial; K02358 elongation factor Tu 
olu:OSTLU_12589      hypothetical protein; K14848 ribosome assembly protein RRB1 
olu:OSTLU_12596      RPS12; Ribosomal protein S12, component of cytosolic 80S ribosome and 40S small subunit; K02951 smal 
olu:OSTLU_12600      hypothetical protein 
olu:OSTLU_12601      hypothetical protein; K12623 U6 snRNA-associated Sm-like protein LSm4 
olu:OSTLU_12605      hypothetical protein 
olu:OSTLU_12608      hypothetical protein; K14298 mRNA export factor 
olu:OSTLU_12614      hypothetical protein; K00131 glyceraldehyde-3-phosphate dehydrogenase (NADP) [EC:1.2.1.9] 
olu:OSTLU_12616      hypothetical protein; K01469 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9] 
olu:OSTLU_12621      hypothetical protein; K12832 splicing factor 3B subunit 5 
olu:OSTLU_12625      hypothetical protein; K00162 pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1] 
olu:OSTLU_12650      hypothetical protein; K07198 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11] 
olu:OSTLU_12653      hypothetical protein; K08343 ubiquitin-like-conjugating enzyme ATG3 [EC:6.3.2.19] 
olu:OSTLU_12673      hypothetical protein 
olu:OSTLU_12674      RPS5; Ribosomal protein S5, component of cytosolic 80S ribosome and 40S small subunit; K02989 small  
olu:OSTLU_12682      FBT family transporter: folate/pteridine 
olu:OSTLU_12688      hypothetical protein; K07877 Ras-related protein Rab-2A 
olu:OSTLU_12689      hypothetical protein; K07874 Ras-related protein Rab-1A 
olu:OSTLU_12693      hypothetical protein 
olu:OSTLU_12699      hypothetical protein; K14962 COMPASS component SWD2 
olu:OSTLU_12730      hypothetical protein; K01880 glycyl-tRNA synthetase [EC:6.1.1.14] 
olu:OSTLU_12738      hypothetical protein 
olu:OSTLU_12740      hypothetical protein 
olu:OSTLU_12759      CHR3506; hypothetical protein; K11654 SWI/SNF-related matrix-associated actin-dependent regulator of 
olu:OSTLU_12762      hypothetical protein; K03254 translation initiation factor 3 subunit A 
olu:OSTLU_12765      hypothetical protein; K03183 ubiquinone/menaquinone biosynthesis methyltransferase [EC:2.1.1.163 2.1 
olu:OSTLU_12779      hypothetical protein; K00432 glutathione peroxidase [EC:1.11.1.9] 
olu:OSTLU_12783      hypothetical protein 
olu:OSTLU_12802      PRPL1; Plastid ribosomal protein L1 large ribosomal subunit; K02863 large subunit ribosomal protein  
olu:OSTLU_12803      HTA3502; hypothetical protein; K11251 histone H2A 
olu:OSTLU_12804      HTB3501; hypothetical protein; K11252 histone H2B 
olu:OSTLU_12811      ZIP family transporter: zinc ion; K07238 zinc transporter, ZIP family 
olu:OSTLU_12826      hypothetical protein 
olu:OSTLU_12848      hypothetical protein; K03386 peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15] 
olu:OSTLU_12863      HDS; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, putative chloroplast precursor (1-hydroxy 
olu:OSTLU_12867      hypothetical protein 
olu:OSTLU_12869      hypothetical protein; K08851 TP53 regulating kinase [EC:2.7.11.1] 
