
GenomeNet icon	
LinkDB Search


Mode: Single Entry to Database
From: KEGG GENOME T01330
To: KEGG GENES
vcn:VOLCADRAFT_100431 hypothetical protein 
vcn:VOLCADRAFT_100432 hypothetical protein 
vcn:VOLCADRAFT_100434 hypothetical protein 
vcn:VOLCADRAFT_100437 hypothetical protein 
vcn:VOLCADRAFT_100438 hypothetical protein 
vcn:VOLCADRAFT_100440 hypothetical protein 
vcn:VOLCADRAFT_100442 hypothetical protein 
vcn:VOLCADRAFT_100443 hypothetical protein 
vcn:VOLCADRAFT_100444 hypothetical protein 
vcn:VOLCADRAFT_100445 hypothetical protein 
vcn:VOLCADRAFT_100446 hypothetical protein 
vcn:VOLCADRAFT_100447 hypothetical protein 
vcn:VOLCADRAFT_100449 hypothetical protein 
vcn:VOLCADRAFT_100452 hypothetical protein 
vcn:VOLCADRAFT_100453 hypothetical protein 
vcn:VOLCADRAFT_100456 hypothetical protein 
vcn:VOLCADRAFT_100457 hypothetical protein 
vcn:VOLCADRAFT_100464 hypothetical protein 
vcn:VOLCADRAFT_100465 hypothetical protein 
vcn:VOLCADRAFT_100466 hypothetical protein 
vcn:VOLCADRAFT_100467 hypothetical protein 
vcn:VOLCADRAFT_100470 hypothetical protein 
vcn:VOLCADRAFT_100471 hypothetical protein 
vcn:VOLCADRAFT_100472 hypothetical protein 
vcn:VOLCADRAFT_100473 hypothetical protein 
vcn:VOLCADRAFT_100474 hypothetical protein 
vcn:VOLCADRAFT_100478 hypothetical protein 
vcn:VOLCADRAFT_100479 hypothetical protein 
vcn:VOLCADRAFT_100483 hypothetical protein 
vcn:VOLCADRAFT_100488 hypothetical protein 
vcn:VOLCADRAFT_100489 hypothetical protein 
vcn:VOLCADRAFT_100490 hypothetical protein 
vcn:VOLCADRAFT_100491 hypothetical protein 
vcn:VOLCADRAFT_100492 hypothetical protein 
vcn:VOLCADRAFT_100493 hypothetical protein 
vcn:VOLCADRAFT_100494 hypothetical protein 
vcn:VOLCADRAFT_100497 hypothetical protein 
vcn:VOLCADRAFT_100498 hypothetical protein 
vcn:VOLCADRAFT_100500 hypothetical protein 
vcn:VOLCADRAFT_100503 hypothetical protein 
vcn:VOLCADRAFT_100504 hypothetical protein 
vcn:VOLCADRAFT_100505 hypothetical protein 
vcn:VOLCADRAFT_100511 hypothetical protein 
vcn:VOLCADRAFT_100517 hypothetical protein 
vcn:VOLCADRAFT_100520 hypothetical protein 
vcn:VOLCADRAFT_100523 hypothetical protein 
vcn:VOLCADRAFT_100524 hypothetical protein 
vcn:VOLCADRAFT_100525 hypothetical protein 
vcn:VOLCADRAFT_100526 hypothetical protein 
vcn:VOLCADRAFT_100527 hypothetical protein 
vcn:VOLCADRAFT_100532 hypothetical protein 
vcn:VOLCADRAFT_100534 hypothetical protein 
vcn:VOLCADRAFT_100541 KifC1 kinesin 
vcn:VOLCADRAFT_100544 hypothetical protein 
vcn:VOLCADRAFT_100545 hypothetical protein 
vcn:VOLCADRAFT_100547 hypothetical protein 
vcn:VOLCADRAFT_100552 hypothetical protein 
vcn:VOLCADRAFT_100563 hypothetical protein 
vcn:VOLCADRAFT_100564 itnpA1; Idaten transposition protein 
vcn:VOLCADRAFT_100565 hypothetical protein 
vcn:VOLCADRAFT_100566 hypothetical protein 
vcn:VOLCADRAFT_100567 hypothetical protein 
vcn:VOLCADRAFT_100569 hypothetical protein 
vcn:VOLCADRAFT_100570 hypothetical protein 
vcn:VOLCADRAFT_100571 hypothetical protein 
vcn:VOLCADRAFT_100573 hypothetical protein 
vcn:VOLCADRAFT_100574 hypothetical protein 
vcn:VOLCADRAFT_100576 hypothetical protein 
vcn:VOLCADRAFT_100577 hypothetical protein 
vcn:VOLCADRAFT_100578 hypothetical protein 
vcn:VOLCADRAFT_100579 hypothetical protein 
vcn:VOLCADRAFT_100587 hypothetical protein 
vcn:VOLCADRAFT_100588 hypothetical protein 
vcn:VOLCADRAFT_100591 hypothetical protein 
vcn:VOLCADRAFT_100594 hypothetical protein 
vcn:VOLCADRAFT_100595 hypothetical protein 
vcn:VOLCADRAFT_100596 hypothetical protein 
vcn:VOLCADRAFT_100597 hypothetical protein 
vcn:VOLCADRAFT_100602 hypothetical protein 
vcn:VOLCADRAFT_100603 hypothetical protein; K12815 pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 [EC:3.6.4.13] 
vcn:VOLCADRAFT_100605 hypothetical protein 
vcn:VOLCADRAFT_100607 hypothetical protein 
vcn:VOLCADRAFT_100609 hypothetical protein 
vcn:VOLCADRAFT_100610 hypothetical protein 
vcn:VOLCADRAFT_100611 hypothetical protein 
vcn:VOLCADRAFT_100612 hypothetical protein 
vcn:VOLCADRAFT_100613 hypothetical protein 
vcn:VOLCADRAFT_100614 hypothetical protein 
vcn:VOLCADRAFT_100615 hypothetical protein 
vcn:VOLCADRAFT_100616 hypothetical protein 
vcn:VOLCADRAFT_100617 hypothetical protein 
vcn:VOLCADRAFT_100618 hypothetical protein 
vcn:VOLCADRAFT_100619 hypothetical protein 
vcn:VOLCADRAFT_100620 hypothetical protein 
vcn:VOLCADRAFT_100621 hypothetical protein 
vcn:VOLCADRAFT_100622 hypothetical protein 
vcn:VOLCADRAFT_100623 hypothetical protein 
vcn:VOLCADRAFT_100624 hypothetical protein 
vcn:VOLCADRAFT_100625 hypothetical protein 
vcn:VOLCADRAFT_100627 hypothetical protein 
vcn:VOLCADRAFT_100630 hypothetical protein 
vcn:VOLCADRAFT_100638 hypothetical protein 
vcn:VOLCADRAFT_100644 hypothetical protein; K11130 H/ACA ribonucleoprotein complex subunit 3 
vcn:VOLCADRAFT_100645 hypothetical protein 
vcn:VOLCADRAFT_100649 hypothetical protein 
vcn:VOLCADRAFT_100650 hypothetical protein 
vcn:VOLCADRAFT_100659 hypothetical protein; K11438 protein arginine N-methyltransferase 7 [EC:2.1.1.-] 
vcn:VOLCADRAFT_100661 hypothetical protein 
vcn:VOLCADRAFT_100674 hypothetical protein 
vcn:VOLCADRAFT_100676 hypothetical protein 
vcn:VOLCADRAFT_100677 hypothetical protein 
vcn:VOLCADRAFT_100680 hypothetical protein 
vcn:VOLCADRAFT_100681 hypothetical protein 
vcn:VOLCADRAFT_100682 hypothetical protein 
vcn:VOLCADRAFT_100683 hypothetical protein 
vcn:VOLCADRAFT_100684 hypothetical protein 
vcn:VOLCADRAFT_100685 hypothetical protein 
vcn:VOLCADRAFT_100686 hypothetical protein 
vcn:VOLCADRAFT_100687 hypothetical protein 
vcn:VOLCADRAFT_100695 hypothetical protein 
vcn:VOLCADRAFT_100696 hypothetical protein 
vcn:VOLCADRAFT_100697 hypothetical protein 
vcn:VOLCADRAFT_100701 hypothetical protein 
vcn:VOLCADRAFT_100702 hypothetical protein 
vcn:VOLCADRAFT_100703 hypothetical protein 
vcn:VOLCADRAFT_100708 hypothetical protein 
vcn:VOLCADRAFT_100709 hypothetical protein 
vcn:VOLCADRAFT_100710 hypothetical protein 
vcn:VOLCADRAFT_100711 hypothetical protein 
vcn:VOLCADRAFT_100714 hypothetical protein 
vcn:VOLCADRAFT_100716 hypothetical protein 
vcn:VOLCADRAFT_100717 hypothetical protein 
vcn:VOLCADRAFT_100718 hypothetical protein 
vcn:VOLCADRAFT_100719 hypothetical protein 
vcn:VOLCADRAFT_100720 hypothetical protein 
vcn:VOLCADRAFT_100722 hypothetical protein 
vcn:VOLCADRAFT_100724 hypothetical protein 
vcn:VOLCADRAFT_100725 hypothetical protein 
vcn:VOLCADRAFT_100726 hypothetical protein 
vcn:VOLCADRAFT_100727 hypothetical protein 
vcn:VOLCADRAFT_100728 hypothetical protein 
vcn:VOLCADRAFT_100730 hypothetical protein 
vcn:VOLCADRAFT_100733 hypothetical protein 
vcn:VOLCADRAFT_100737 hypothetical protein 
vcn:VOLCADRAFT_100738 hypothetical protein 
vcn:VOLCADRAFT_100740 hypothetical protein 
vcn:VOLCADRAFT_100741 hypothetical protein 
vcn:VOLCADRAFT_100742 hypothetical protein 
vcn:VOLCADRAFT_100746 hypothetical protein 
vcn:VOLCADRAFT_100748 hypothetical protein 
vcn:VOLCADRAFT_100749 hypothetical protein 
vcn:VOLCADRAFT_100754 hypothetical protein 
vcn:VOLCADRAFT_100756 hypothetical protein; K06617 raffinose synthase [EC:2.4.1.82] 
vcn:VOLCADRAFT_100757 hypothetical protein; K06638 mitotic spindle assembly checkpoint protein MAD1 
vcn:VOLCADRAFT_100758 hypothetical protein 
vcn:VOLCADRAFT_100760 hypothetical protein 
vcn:VOLCADRAFT_100764 hypothetical protein 
vcn:VOLCADRAFT_100765 hypothetical protein 
vcn:VOLCADRAFT_100767 hypothetical protein 
vcn:VOLCADRAFT_100769 hypothetical protein 
vcn:VOLCADRAFT_100770 hypothetical protein 
vcn:VOLCADRAFT_100771 hypothetical protein 
vcn:VOLCADRAFT_100774 hypothetical protein 
vcn:VOLCADRAFT_100776 hypothetical protein 
vcn:VOLCADRAFT_100777 hypothetical protein 
vcn:VOLCADRAFT_100778 hypothetical protein 
vcn:VOLCADRAFT_100779 phV39; extracellular matrix glycoprotein pherophorin-V39 
vcn:VOLCADRAFT_100780 hypothetical protein 
vcn:VOLCADRAFT_100782 hypothetical protein 
vcn:VOLCADRAFT_100783 hypothetical protein 
vcn:VOLCADRAFT_100784 hypothetical protein 
vcn:VOLCADRAFT_100790 hypothetical protein 
vcn:VOLCADRAFT_100792 hypothetical protein 
vcn:VOLCADRAFT_100795 hypothetical protein 
vcn:VOLCADRAFT_100797 hypothetical protein 
vcn:VOLCADRAFT_100799 hypothetical protein 
vcn:VOLCADRAFT_100800 hypothetical protein 
vcn:VOLCADRAFT_100801 hypothetical protein 
vcn:VOLCADRAFT_100802 hypothetical protein 
vcn:VOLCADRAFT_100803 hypothetical protein 
vcn:VOLCADRAFT_100804 hypothetical protein 
vcn:VOLCADRAFT_100805 hypothetical protein 
vcn:VOLCADRAFT_100810 hypothetical protein 
vcn:VOLCADRAFT_100811 hypothetical protein 
vcn:VOLCADRAFT_100813 hypothetical protein 
vcn:VOLCADRAFT_100819 hypothetical protein 
vcn:VOLCADRAFT_100821 hypothetical protein 
vcn:VOLCADRAFT_100824 hypothetical protein 
vcn:VOLCADRAFT_100825 hypothetical protein 
vcn:VOLCADRAFT_100827 hypothetical protein 
vcn:VOLCADRAFT_100828 hypothetical protein 
vcn:VOLCADRAFT_100829 hypothetical protein 
vcn:VOLCADRAFT_100836 hypothetical protein 
vcn:VOLCADRAFT_100840 hypothetical protein 
vcn:VOLCADRAFT_100841 hypothetical protein 
vcn:VOLCADRAFT_100842 hypothetical protein 
vcn:VOLCADRAFT_100843 hypothetical protein 
vcn:VOLCADRAFT_100848 hypothetical protein 
vcn:VOLCADRAFT_100854 hypothetical protein 
vcn:VOLCADRAFT_100859 hypothetical protein 
vcn:VOLCADRAFT_100860 hypothetical protein 
vcn:VOLCADRAFT_100863 hypothetical protein; K17973 N-terminal acetyltransferase B complex non-catalytic subunit 
vcn:VOLCADRAFT_100867 hypothetical protein 
vcn:VOLCADRAFT_100873 hypothetical protein 
vcn:VOLCADRAFT_100874 hypothetical protein 
vcn:VOLCADRAFT_100877 hypothetical protein 
vcn:VOLCADRAFT_100878 hypothetical protein 
vcn:VOLCADRAFT_100887 hypothetical protein 
vcn:VOLCADRAFT_100888 hypothetical protein 
vcn:VOLCADRAFT_100891 hypothetical protein 
vcn:VOLCADRAFT_100892 hypothetical protein 
vcn:VOLCADRAFT_100893 hypothetical protein 
vcn:VOLCADRAFT_100894 hypothetical protein 
vcn:VOLCADRAFT_100896 hypothetical protein 
vcn:VOLCADRAFT_100897 hypothetical protein 
vcn:VOLCADRAFT_100900 hypothetical protein 
vcn:VOLCADRAFT_100902 hypothetical protein 
vcn:VOLCADRAFT_100903 hypothetical protein 
vcn:VOLCADRAFT_100904 hypothetical protein 
vcn:VOLCADRAFT_100907 hypothetical protein 
vcn:VOLCADRAFT_100914 hypothetical protein 
vcn:VOLCADRAFT_100917 hypothetical protein 
vcn:VOLCADRAFT_100918 hypothetical protein 
vcn:VOLCADRAFT_100920 hypothetical protein 
vcn:VOLCADRAFT_100921 hypothetical protein 
vcn:VOLCADRAFT_100922 hypothetical protein 
vcn:VOLCADRAFT_100929 cyc51; guanylyl and adenylyl cyclase family member 
vcn:VOLCADRAFT_100930 hypothetical protein 
vcn:VOLCADRAFT_100931 hypothetical protein 
vcn:VOLCADRAFT_100932 hypothetical protein 
vcn:VOLCADRAFT_100933 hypothetical protein 
vcn:VOLCADRAFT_100934 hypothetical protein 
vcn:VOLCADRAFT_100935 hypothetical protein 
vcn:VOLCADRAFT_100936 hypothetical protein 
vcn:VOLCADRAFT_100943 hypothetical protein 
vcn:VOLCADRAFT_100944 hypothetical protein; K03352 anaphase-promoting complex subunit 5 
vcn:VOLCADRAFT_100945 hypothetical protein 
vcn:VOLCADRAFT_100946 hypothetical protein 
vcn:VOLCADRAFT_100953 hypothetical protein 
vcn:VOLCADRAFT_100956 hypothetical protein 
vcn:VOLCADRAFT_100957 hypothetical protein 
vcn:VOLCADRAFT_100958 hypothetical protein 
vcn:VOLCADRAFT_100964 hypothetical protein 
vcn:VOLCADRAFT_100965 hypothetical protein 
vcn:VOLCADRAFT_100966 hypothetical protein 
vcn:VOLCADRAFT_100971 hypothetical protein 
vcn:VOLCADRAFT_100973 hypothetical protein 
vcn:VOLCADRAFT_100975 hypothetical protein 
vcn:VOLCADRAFT_100977 hypothetical protein 
vcn:VOLCADRAFT_100978 hypothetical protein 
vcn:VOLCADRAFT_100982 hypothetical protein 
vcn:VOLCADRAFT_100983 hypothetical protein 
vcn:VOLCADRAFT_100992 hypothetical protein 
vcn:VOLCADRAFT_100993 hypothetical protein 
vcn:VOLCADRAFT_100994 hypothetical protein 
vcn:VOLCADRAFT_100995 hypothetical protein 
vcn:VOLCADRAFT_100996 hypothetical protein 
vcn:VOLCADRAFT_101000 hypothetical protein 
vcn:VOLCADRAFT_101001 hypothetical protein 
vcn:VOLCADRAFT_101002 hypothetical protein 
vcn:VOLCADRAFT_101003 hypothetical protein 
vcn:VOLCADRAFT_101004 hypothetical protein 
vcn:VOLCADRAFT_101010 hypothetical protein 
vcn:VOLCADRAFT_101011 hypothetical protein 
vcn:VOLCADRAFT_101012 hypothetical protein 
vcn:VOLCADRAFT_101013 hypothetical protein 
vcn:VOLCADRAFT_101014 hypothetical protein 
vcn:VOLCADRAFT_101015 hypothetical protein 
vcn:VOLCADRAFT_101016 hypothetical protein 
vcn:VOLCADRAFT_101017 hypothetical protein 
vcn:VOLCADRAFT_101019 hypothetical protein 
vcn:VOLCADRAFT_101021 hypothetical protein 
vcn:VOLCADRAFT_101022 hypothetical protein 
vcn:VOLCADRAFT_101025 hypothetical protein 
vcn:VOLCADRAFT_101026 hypothetical protein 
vcn:VOLCADRAFT_101029 hypothetical protein 
vcn:VOLCADRAFT_101032 hypothetical protein 
vcn:VOLCADRAFT_101034 hypothetical protein 
vcn:VOLCADRAFT_101036 hypothetical protein 
vcn:VOLCADRAFT_101037 hypothetical protein 
vcn:VOLCADRAFT_101038 hypothetical protein 
vcn:VOLCADRAFT_101043 hypothetical protein 
vcn:VOLCADRAFT_101046 hypothetical protein 
vcn:VOLCADRAFT_101047 hypothetical protein 
vcn:VOLCADRAFT_101048 hypothetical protein 
vcn:VOLCADRAFT_101049 hypothetical protein 
vcn:VOLCADRAFT_101055 hypothetical protein 
vcn:VOLCADRAFT_101056 hypothetical protein 
vcn:VOLCADRAFT_101057 hypothetical protein 
vcn:VOLCADRAFT_101059 hypothetical protein 
vcn:VOLCADRAFT_101060 hypothetical protein 
vcn:VOLCADRAFT_101062 hypothetical protein 
vcn:VOLCADRAFT_101068 hypothetical protein 
vcn:VOLCADRAFT_101070 jtnpA2; jordan protein TnpA 
vcn:VOLCADRAFT_101072 hypothetical protein 
vcn:VOLCADRAFT_101080 hypothetical protein 
vcn:VOLCADRAFT_101083 hypothetical protein 
vcn:VOLCADRAFT_101086 hypothetical protein 
vcn:VOLCADRAFT_101091 hypothetical protein 
vcn:VOLCADRAFT_101093 hypothetical protein 
vcn:VOLCADRAFT_101097 hypothetical protein 
vcn:VOLCADRAFT_101104 hypothetical protein 
vcn:VOLCADRAFT_101106 hypothetical protein 
vcn:VOLCADRAFT_101107 hypothetical protein 
vcn:VOLCADRAFT_101109 hypothetical protein 
vcn:VOLCADRAFT_101113 hypothetical protein 
vcn:VOLCADRAFT_101114 hypothetical protein 
vcn:VOLCADRAFT_101115 hypothetical protein 
vcn:VOLCADRAFT_101117 hypothetical protein 
vcn:VOLCADRAFT_101122 hypothetical protein 
vcn:VOLCADRAFT_101123 hypothetical protein 
vcn:VOLCADRAFT_101124 hypothetical protein 
vcn:VOLCADRAFT_101125 hypothetical protein 
vcn:VOLCADRAFT_101127 hypothetical protein 
vcn:VOLCADRAFT_101128 hypothetical protein 
vcn:VOLCADRAFT_101130 hypothetical protein 
vcn:VOLCADRAFT_101133 hypothetical protein 
vcn:VOLCADRAFT_101136 hypothetical protein 
vcn:VOLCADRAFT_101140 hypothetical protein 
vcn:VOLCADRAFT_101142 hypothetical protein 
vcn:VOLCADRAFT_101143 hypothetical protein 
vcn:VOLCADRAFT_101145 hypothetical protein 
vcn:VOLCADRAFT_101146 hypothetical protein 
vcn:VOLCADRAFT_101147 hypothetical protein 
vcn:VOLCADRAFT_101148 hypothetical protein 
vcn:VOLCADRAFT_101149 hypothetical protein 
vcn:VOLCADRAFT_101150 hypothetical protein 
vcn:VOLCADRAFT_101154 hypothetical protein 
vcn:VOLCADRAFT_101155 hypothetical protein 
vcn:VOLCADRAFT_101158 hypothetical protein 
vcn:VOLCADRAFT_101159 hypothetical protein 
vcn:VOLCADRAFT_101160 hypothetical protein 
vcn:VOLCADRAFT_101161 hypothetical protein 
vcn:VOLCADRAFT_101162 hypothetical protein 
vcn:VOLCADRAFT_101163 hypothetical protein 
vcn:VOLCADRAFT_101170 hypothetical protein 
vcn:VOLCADRAFT_101171 hypothetical protein 
vcn:VOLCADRAFT_101174 hypothetical protein 
vcn:VOLCADRAFT_101176 hypothetical protein 
vcn:VOLCADRAFT_101178 hypothetical protein 
vcn:VOLCADRAFT_101184 hypothetical protein 
vcn:VOLCADRAFT_101189 hypothetical protein 
vcn:VOLCADRAFT_101190 hypothetical protein 
vcn:VOLCADRAFT_101191 hypothetical protein 
vcn:VOLCADRAFT_101193 hypothetical protein 
vcn:VOLCADRAFT_101200 hypothetical protein 
vcn:VOLCADRAFT_101201 hypothetical protein 
vcn:VOLCADRAFT_101202 hypothetical protein 
vcn:VOLCADRAFT_101204 hypothetical protein 
vcn:VOLCADRAFT_101212 hypothetical protein 
vcn:VOLCADRAFT_101213 hypothetical protein 
vcn:VOLCADRAFT_101216 hypothetical protein 
